predictor,OR,ci_lower,ci_upper,p_value
C(sex)[T.male],0.9938390484389299,0.6415077900560305,1.5396789711871288,0.9779254557368123
C(bethesda_III_vs_IV_V)[T.IV_V],4.013106708276923,2.295614923793188,7.0155605302503865,1.0832139931038468e-06
C(bethesda_III_vs_IV_V)[T.other_NA],1.8817242518475203,1.1130797466157007,3.181161251704661,0.018281473147221363
has_preop_molecular[T.True],0.5712238223192198,0.1686870171594735,1.9343317623341747,0.36822204241355994
genetics_guided[T.True],1.6010321113091488,0.2538847120005342,10.096329949310368,0.6164281364113143
age_at_surgery,0.9865746206695063,0.9748648367991252,0.9984250589497247,0.02650760339822823
exact_size_cm_primary,1.0368469393556718,0.6550779824802898,1.6411047301281734,0.8772570092231349
