# generated_by,scripts/271_v1_0_publication_snapshot.py,generated_at,2026-04-17T08:01:04.269224+00:00
table_name,row_count,parquet_bytes,sha256,exported_at
ln_master_rollup_v1,4273,261238,999b4ae9e31960a0f7d4e5efda3981d6378e99c8c8aebc4ff14caa11218f8725,2026-04-17T08:01:29.202054+00:00
longitudinal_lab_canonical_v1,75247,432000,1b952edc56efccb61a514a69d1855cc92ca5fcfdb0a64eb9f553f71303036304,2026-04-17T08:01:29.780919+00:00
manuscript_cohort_v1,10871,421905,838f10e8761ef81de1ea28c8623e0e1e9573996b6f9b89ce9bc88ccacc47c090,2026-04-17T08:01:30.255312+00:00
molecular_assay_dictionary,4,1925,38f1aa63740ac07ca5464bae84abe429416ea4e2cf7a04c11f4b3cf0d44ce45b,2026-04-17T08:01:30.358882+00:00
molecular_code_crosswalk,44,1944,2f09681cda9e6e240622bde80318b3954bcd47aefd4b82bf0e72301efbf6eb05,2026-04-17T08:01:30.425580+00:00
molecular_ingestion_runs,1,1197,4d0cd63eb4e07971767913eea843a5b885ffb98bdc2482813c9ded7e8efe74a8,2026-04-17T08:01:30.502565+00:00
molecular_results,10861,1173227,98dfcb12345bcda30f83589e89c55a089ee8362dab69a432953be994078eb8b1,2026-04-17T08:01:31.605874+00:00
molecular_test_episode_v2,10650,228592,3b142b96f70023eed2bccd9d5d4b01d941434d22919d8b3cc077bcb4d696d757,2026-04-17T08:01:31.972324+00:00
molecular_testing,10861,197622,778e44311e76df7621fe5a9574102cd47d436f3e18ed17240f959e1e726b3ebe,2026-04-17T08:01:32.175131+00:00
molecular_variant_long,1640,108792,26116ee5c7524f7964fd6310203bb5d09904bfc36f9a97b1cc2df5b7fb122968,2026-04-17T08:01:32.309735+00:00
mri_imaging,715,446107,0ac91754be03b3f8c8f64f5c2dfd8ae87ba7806f0174fd63c32bda54bd1906f1,2026-04-17T08:01:32.626522+00:00
note_entities_complications,9359,226877,a555bf47e9532e6726d832b1b5f7ff5e19e167c38d8ddb44baa0bae75961e840,2026-04-17T08:01:33.073221+00:00
note_entities_genetics,1738,49992,09b6a992811de392e5a72e18411862547deed1d4f8a258adf2bc38ec59088578,2026-04-17T08:01:33.186768+00:00
note_entities_llm_airway_invasion,11037,549556,6afb16b14d69a1f1b859be7b48c3c8029cddf9f9c65eafcfc4d142edd8d309a4,2026-04-17T08:01:33.639821+00:00
note_entities_llm_cervical_ln_detail,11037,499221,8efa8463ac80db1056ebf9d2961d28feeca8438a57d1c05b042fce52ceb5421c,2026-04-17T08:01:34.194734+00:00
note_entities_llm_dynamic_risk_response,11037,400820,496e92e872e1a44e8ff8a21207eb6b7664235de23bd041a5beeb921259f21bcf,2026-04-17T08:01:34.644111+00:00
note_entities_llm_frozen_section_detail,11037,452914,eb7786bfbdc5c44b069f9cb1b8dd68f2e9cea2ef8933eec54aa4548d1fe38754,2026-04-17T08:01:35.163582+00:00
note_entities_llm_functional_outcomes,11037,531470,be92b979eafffad5d1e491174dcba016beacfeb974d3d0d61deb5936355457fb,2026-04-17T08:01:35.500272+00:00
note_entities_llm_imaging,11037,799514,7229526a67975ee54f90bb6e6fa4d4a461859d500959468a5d81bf4cc202aaa3,2026-04-17T08:01:36.065613+00:00
note_entities_llm_labs,11037,622678,e160a85744d78046e15e5c275e0fd627ad498eaa48eaaffbc3480af9cb708827,2026-04-17T08:01:36.419508+00:00
note_entities_llm_parathyroid_detail,11037,501946,1418fdc903924cc8b77e3a77354837389386ce93f405e89b4b3ed35a007f52e7,2026-04-17T08:01:36.971392+00:00
note_entities_llm_past_medical_hx,11037,612430,663af2aee59d3ed037df580f2b57bd7b02fa95e8e75696aa5213b4674d3a5c74,2026-04-17T08:01:37.362806+00:00
note_entities_llm_past_surgical_hx,11037,695047,dc521386fe3fae6434284f418e76c279bcc6a2560e77a2ac30c0cf6e984e5ad7,2026-04-17T08:01:37.883748+00:00
note_entities_llm_pathology,11037,782967,b4ca7f7217e7b4991a6a41703fb575e4ae247924c5dd5df7ddd76c0bba5a8fa4,2026-04-17T08:01:38.472690+00:00
note_entities_llm_patient_decision_adherence,11037,500023,105f86b2b37045d15f44b67c2061eb2017ad138a381e66819d9cc52a5b8b9eaa,2026-04-17T08:01:38.972277+00:00
note_entities_llm_physical_exam,11037,612224,7fa9c1e9669b81d27eb8f410242c92b18565c25a933fc6704c52fc373a30a919,2026-04-17T08:01:39.462477+00:00
note_entities_llm_presenting_symptoms,11037,567228,087c89385770bcb86106c3a004b8257e981b4284dc5540dfee73b0e925068eea,2026-04-17T08:01:39.888722+00:00
note_entities_llm_rad_treatment,11037,459224,6d65230f57b6f8adc71e76b49d4ff9c8a627c10ceecaddad39b1c712a282090f,2026-04-17T08:01:40.458080+00:00
note_entities_llm_rai_detailed,11037,444030,4d3a1af3677dc7d045222d670acdb3dc39765810228991884421a8f3a35e9a0b,2026-04-17T08:01:40.958813+00:00
note_entities_llm_recurrence,11037,480340,85d2233b66117155c3b7705843a9f2591c28b7c95b58c80235b4cb2cd393f1a6,2026-04-17T08:01:41.673475+00:00
note_entities_llm_survival_followup,11037,695595,c619e80255f78bb26260247084e84a1e2315dbdc8590d67d5cc21c8de2bcf50f,2026-04-17T08:01:42.157205+00:00
note_entities_llm_synoptic_pathology_enrichment,11037,536193,c93f4ee174ecb4f87446ef67bb68860b7043073e2c4a993e54e824117d8e41c7,2026-04-17T08:01:42.640362+00:00
note_entities_llm_tg_kinetics,11037,417717,f9ed71f6864d2e26868c039a18cddfc461f7ce4a68ffb913164f82319971cb4e,2026-04-17T08:01:43.147367+00:00
note_entities_llm_tirads_granular,11037,461358,f00303bf36980c899cc33d9656dda8c5848bd95a33e48ec283b37c32b0429c6d,2026-04-17T08:01:43.700716+00:00
note_entities_llm_us_nodule_dynamics,11037,537459,17bab59de14ac2769d087d0ba33f4e5faffb7cfb543686715c5bd2a105a0c0df,2026-04-17T08:01:44.219102+00:00
