platform,n_total,n_braf,braf_rate_pct,method_NGS,method_NLP_entity_confirmed,method_NGS_or_unknown
Afirma,197,55,27.9,51.0,4.0,
ThyroSeq,632,96,15.2,84.0,12.0,
ThyroSeq+Afirma,167,132,79.0,132.0,,
multi_panel_unknown,66,38,57.6,1.0,32.0,5.0
single_gene,55,55,100.0,,55.0,
