platform,n_total,n_malignant,rom_pct,rom_ci_lo,rom_ci_hi,n_with_risk_tier,tp,fp,tn,fn,sensitivity_pct,sensitivity_ci_lo,sensitivity_ci_hi,specificity_pct,specificity_ci_lo,specificity_ci_hi,npv_pct,npv_ci_lo,npv_ci_hi,ppv_pct,ppv_ci_lo,ppv_ci_hi,note_sensitivity,n_bethesda3,n_bethesda3_malignant,bethesda3_rom_pct,bethesda3_rom_ci_lo,bethesda3_rom_ci_hi,n_bethesda4,n_bethesda4_malignant,bethesda4_rom_pct,bethesda4_rom_ci_lo,bethesda4_rom_ci_hi
ThyroSeq,632,382,60.4,56.6,64.2,463.0,106.0,15.0,69.0,273.0,28.0,23.7,32.7,82.1,72.6,88.9,20.2,16.3,24.7,87.6,80.6,92.3,molecular_risk_tier proxy: positive=high/intermediate,230.0,125.0,54.3,47.9,60.7,139.0,73.0,52.5,44.3,60.6
Afirma,197,105,53.3,46.3,60.1,139.0,25.0,30.0,4.0,80.0,23.8,16.7,32.8,11.8,4.7,26.6,4.8,1.9,11.6,45.5,33.0,58.5,molecular_risk_tier proxy: positive=high/intermediate,37.0,17.0,45.9,31.0,61.6,43.0,25.0,58.1,43.3,71.6
Quest,1,1,100.0,20.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThyroSeq+Afirma,167,111,66.5,59.0,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi_panel_unknown,66,62,93.9,85.4,97.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_gene,55,49,89.1,78.2,94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,168,111,66.1,58.6,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
