row,md_target,source_name,md_count,src_count,md_is_duplicate,src_is_duplicate
79,md_extracted_molecular_refined_v1,extracted_molecular_refined_v1,1,1,NO,NO
80,md_extracted_postop_labs_v1,extracted_postop_labs_v1,1,1,NO,NO
81,md_extracted_rai_validated_v1,extracted_rai_validated_v1,1,1,NO,NO
82,md_extracted_ene_refined_v1,extracted_ene_refined_v1,1,1,NO,NO
83,md_patient_refined_master_clinical_v4,patient_refined_master_clinical_v4,1,1,NO,NO
84,md_extracted_margins_refined_v1,extracted_margins_refined_v1,1,1,NO,NO
85,md_extracted_invasion_profile_v1,extracted_invasion_profile_v1,1,1,NO,NO
86,md_extracted_ln_yield_v1,extracted_ln_yield_v1,1,1,NO,NO
87,md_extracted_ene_refined_v2,extracted_ene_refined_v2,1,1,NO,NO
88,md_extracted_staging_details_refined_v1,extracted_staging_details_refined_v1,1,1,NO,NO
89,md_patient_refined_master_clinical_v5,patient_refined_master_clinical_v5,1,1,NO,NO
90,md_vw_margins_by_source,vw_margins_by_source,1,1,NO,NO
91,md_vw_invasion_profile,vw_invasion_profile,1,1,NO,NO
92,md_vw_ln_yield_summary,vw_ln_yield_summary,1,1,NO,NO
93,md_extracted_postop_labs_expanded_v1,extracted_postop_labs_expanded_v1,1,1,NO,NO
94,md_vw_postop_lab_expanded,vw_postop_lab_expanded,1,1,NO,NO
95,md_extracted_rai_dose_refined_v1,extracted_rai_dose_refined_v1,1,1,NO,NO
96,md_vw_rai_dose_by_source,vw_rai_dose_by_source,1,1,NO,NO
97,md_extracted_ete_ene_tert_refined_v1,extracted_ete_ene_tert_refined_v1,1,1,NO,NO
98,md_vw_ete_microscopic_rule,vw_ete_microscopic_rule,1,1,NO,NO
99,md_extracted_ene_multisource_v1,extracted_ene_multisource_v1,1,1,NO,NO
100,md_vw_ene_concordance,vw_ene_concordance,1,1,NO,NO
101,md_vw_ene_source_summary,vw_ene_source_summary,1,1,NO,NO
102,md_patient_refined_master_clinical_v8,patient_refined_master_clinical_v8,1,1,NO,NO
103,md_extracted_margin_r0_recovery_v1,extracted_margin_r0_recovery_v1,1,1,NO,NO
104,md_vw_margin_r0_recovery,vw_margin_r0_recovery,1,1,NO,NO
105,md_extracted_invasion_grading_recovery_v1,extracted_invasion_grading_recovery_v1,1,1,NO,NO
106,md_extracted_lateral_neck_v1,extracted_lateral_neck_v1,1,1,NO,NO
107,md_vw_lateral_neck,vw_lateral_neck,1,1,NO,NO
108,md_extracted_multi_tumor_aggregate_v1,extracted_multi_tumor_aggregate_v1,1,1,NO,NO
109,md_extracted_staging_recovery_v1,extracted_staging_recovery_v1,1,1,NO,NO
110,md_extracted_mice_summary_v1,extracted_mice_summary_v1,1,1,NO,NO
111,md_patient_refined_master_clinical_v9,patient_refined_master_clinical_v9,1,1,NO,NO
112,md_extracted_us_tirads_v1,extracted_us_tirads_v1,1,1,NO,NO
113,md_extracted_nodule_sizes_v1,extracted_nodule_sizes_v1,1,1,NO,NO
114,md_extracted_ras_subtypes_v1,extracted_ras_subtypes_v1,1,1,NO,NO
115,md_extracted_ras_patient_summary_v1,extracted_ras_patient_summary_v1,1,1,NO,NO
116,md_extracted_braf_recovery_v1,extracted_braf_recovery_v1,1,1,NO,NO
117,md_vw_braf_audit,vw_braf_audit,1,1,NO,NO
118,md_extracted_preop_sweep_v1,extracted_preop_sweep_v1,1,1,NO,NO
119,md_vw_us_tirads,vw_us_tirads,1,1,NO,NO
120,md_vw_molecular_subtypes,vw_molecular_subtypes,1,1,NO,NO
121,md_extracted_imaging_molecular_final_v1,extracted_imaging_molecular_final_v1,1,1,NO,NO
122,md_patient_refined_master_clinical_v10,patient_refined_master_clinical_v10,1,1,NO,NO
123,md_provenance_enriched_events_v1,provenance_enriched_events_v1,1,1,NO,NO
124,md_lineage_audit_v1,lineage_audit_v1,1,1,NO,NO
125,md_val_provenance_traceability,val_provenance_traceability,1,1,NO,NO
126,md_raw_us_tirads_excel_v1,raw_us_tirads_excel_v1,1,1,NO,NO
127,md_raw_us_tirads_scored_v1,raw_us_tirads_scored_v1,1,1,NO,NO
128,md_extracted_tirads_validated_v1,extracted_tirads_validated_v1,1,1,NO,NO
129,md_vw_us_nodule_tirads_validated,vw_us_nodule_tirads_validated,1,1,NO,NO
130,md_val_phase12_tirads_validation,val_phase12_tirads_validation,1,1,NO,NO
131,md_patient_refined_master_clinical_v11,patient_refined_master_clinical_v11,1,1,NO,NO
132,md_advanced_features_v5,advanced_features_v5,1,1,NO,NO
133,md_extracted_vascular_grading_v13,extracted_vascular_grading_v13,1,1,NO,NO
134,md_vw_vascular_invasion_grade,vw_vascular_invasion_grade,1,1,NO,NO
135,md_extracted_ihc_braf_v13,extracted_ihc_braf_v13,1,1,NO,NO
136,md_vw_molecular_ihc_braf,vw_molecular_ihc_braf,1,1,NO,NO
137,md_extracted_ras_resolved_v13,extracted_ras_resolved_v13,1,1,NO,NO
138,md_vw_ras_subtypes,vw_ras_subtypes,1,1,NO,NO
139,md_val_phase13_final_gaps,val_phase13_final_gaps,1,1,NO,NO
140,md_patient_refined_master_clinical_v12,patient_refined_master_clinical_v12,1,1,NO,NO
141,md_demographics_harmonized_v2,demographics_harmonized_v2,1,1,NO,NO
142,md_qa_missing_demographics,qa_missing_demographics,1,1,NO,NO
143,md_stg_dob_excel_recovery,stg_dob_excel_recovery,1,1,NO,NO
144,md_stg_mrn_crosswalk_demographics,stg_mrn_crosswalk_demographics,1,1,NO,NO
145,md_us_dominant_nodule_size_v1,us_dominant_nodule_size_v1,1,1,NO,NO
146,md_mrn_crosswalk_v1,mrn_crosswalk_v1,1,1,NO,NO
147,md_linkage_master_v1,linkage_master_v1,1,1,NO,NO
148,md_demographics_harmonized_v3,demographics_harmonized_v3,1,1,NO,NO
149,md_qa_missing_demographics_v3,qa_missing_demographics_v3,1,1,NO,NO
150,md_imaging_nodule_master_v1,imaging_nodule_master_v1,1,1,NO,NO
151,md_imaging_exam_master_v1,imaging_exam_master_v1,1,1,NO,NO
