domain_name,provenance_cols_present,entity_date_fill_pct,note_date_fill_pct,date_confidence_fill_pct
imaging,1,0.0,1.0,0.0
tirads_granular,3,0.0,1.0,0.0
labs,1,0.0,1.0,0.0
tg_kinetics,3,0.0,1.0,0.0
pathology,1,0.0,1.0,0.0
synoptic_pathology_enrichment,3,0.0,1.0,0.0
rai_detailed,3,0.0,1.0,0.0
rad_treatment,3,0.0,1.0,0.0
parathyroid_detail,3,0.0,1.0,0.0
recurrence,3,0.0,1.0,0.0
survival_followup,3,0.0,1.0,0.0
functional_outcomes,3,0.0,1.0,0.0
past_medical_hx,3,0.0,1.0,0.0
past_surgical_hx,3,0.0,1.0,0.0
physical_exam,1,0.0,1.0,0.0
vascular_invasion,3,0.0,1.0,0.0
airway_invasion,3,0.0,1.0,0.0
dynamic_risk_response,3,0.0,1.0,0.0
patient_decision_adherence,3,0.0,1.0,0.0
UNCLAIMED,1,0.0,1.0,0.0
UNCLAIMED,1,0.0,1.0,0.0
UNCLAIMED,1,0.0,1.0,0.0
UNCLAIMED,1,0.0,1.0,0.0
UNCLAIMED,3,0.0,1.0,0.0
UNCLAIMED,1,0.0,1.0,0.0
UNCLAIMED,1,0.0,1.0,0.0
