family,n_cols,source_status,source_catalog,source_schema,source_table,source_kind,source_rows,source_patients,metrics_tested,mismatch_total,exact_replay_pass,closure_decision,carry_forward_closed,notes
nlp_funcoutcome,4,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_llm_functional_outcomes_pre251_20260417T012311Z,rawjson,11037,5641,3,956,False,closed_source_found_pm_strict_subset,True,archived raw LLM JSON source; PM uses stricter retired rollup subset
nlp_imaging,4,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_llm_imaging_pre251_20260417T012311Z,rawjson,11037,5641,3,390,False,closed_source_found_pm_strict_subset,True,archived raw LLM JSON source; PM uses stricter retired rollup subset
nlp_labs,4,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_llm_labs_pre251_20260417T012311Z,rawjson,11037,5641,3,188,False,closed_source_found_pm_strict_subset,True,archived raw LLM JSON source; PM uses stricter retired rollup subset
nlp_ne_complications,2,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_complications_pre364_20260422_050902,entities,9359,2840,2,0,True,closed_exact_replay,True,archived generic note_entities table; exact replay vs CPM
nlp_ne_genetics,2,source_found,Thyroid 2026 UPdated,molecular_legacy_20260421,note_entities_genetics,entities,1738,605,2,0,True,closed_exact_replay,True,legacy generic note_entities table; exact replay vs CPM
nlp_ne_medications,2,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_medications_pre365b_20260422_122116,entities,7501,2070,2,0,True,closed_exact_replay,True,archived generic note_entities table; exact replay vs CPM
nlp_ne_problemlist,2,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_problem_list_pre365b_20260422_122116,entities,11579,4037,2,0,True,closed_exact_replay,True,archived generic note_entities table; exact replay vs CPM
nlp_ne_staging,2,source_found,Thyroid 2026 UPdated,main,note_entities_staging_archived_20260422,entities,3807,1639,2,0,True,closed_exact_replay,True,archived generic note_entities table; exact replay vs CPM
nlp_physexam,4,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_llm_physical_exam_pre251_20260417T012311Z,rawjson,11037,5641,3,688,False,closed_source_found_pm_strict_subset,True,archived raw LLM JSON source; PM uses stricter retired rollup subset
nlp_ptdecision,4,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_llm_patient_decision_adherence_pre251_20260417T012311Z,rawjson,11037,5641,3,117,False,closed_source_found_pm_strict_subset,True,archived raw LLM JSON source; PM uses stricter retired rollup subset
nlp_radtx,4,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_llm_rad_treatment_pre251_20260417T012311Z,rawjson,11037,5641,3,17,False,closed_source_found_pm_strict_subset,True,archived raw LLM JSON source; PM uses stricter retired rollup subset
nlp_usnodule,4,source_found,Thyroid 2026 UPdated,archive_pub_v1_0,note_entities_llm_us_nodule_dynamics_pre251_20260417T012311Z,rawjson,11037,5641,3,3,False,closed_source_found_pm_strict_subset,True,"corrected alias: us_nodule_dynamics, not nonexistent note_entities_llm_us_nodule"
