[2026-04-18T05:12:43.537338+00:00] Phase 5 starting.
[2026-04-18T05:12:43.660729+00:00]   CPM invariant: 10871/10871 OK
[2026-04-18T05:12:43.689073+00:00]   floor: operative_episode_detail_v2 = 9371 (range 9366..9376) -> OK
[2026-04-18T05:12:43.792683+00:00]   floor: complication_phenotype_v1 = 5978 (range 5928..6028) -> OK
[2026-04-18T05:12:43.819935+00:00]   floor: fna_episode_master_v2 = 8119 (range 5000..30000) -> OK
[2026-04-18T05:12:43.847406+00:00]   floor: rai_treatment_episode_v2 = 1857 (range 1..100000) -> OK
[2026-04-18T05:12:43.877544+00:00]   floor: synoptic_tumor_long_v1 = 11103 (range 5000..30000) -> OK
[2026-04-18T05:12:43.905192+00:00]   floor: thyroglobulin_lab_canonical_v1 = 74258 (range 73758..74758) -> OK
[2026-04-18T05:12:43.935400+00:00]   floor: longitudinal_lab_canonical_v1 = 75247 (range 73000..76000) -> OK
[2026-04-18T05:12:43.935717+00:00] Running replay suite...
[2026-04-18T05:12:43.975202+00:00]   replay [Q1_cpm_cardinality] -> [{'n': 10871, 'n_distinct': 10871}]
[2026-04-18T05:12:44.046331+00:00]   replay [Q2_cpm_built_at_non_null] -> [{'n_null': 0}]
[2026-04-18T05:12:44.527413+00:00]   replay [Q3_ajcc8_columns_present] -> [{'column_name': 'ajcc8_t_stage'}, {'column_name': 'ajcc8_t_stage_with_microete_t3b_DEPRECATED'}]
[2026-04-18T05:12:44.614246+00:00]   replay [Q4_lateral_nd_columns_present] -> [{'column_name': 'lateral_neck_dissected'}, {'column_name': 'lateral_neck_dissected_structured_or_nlp'}]
[2026-04-18T05:12:44.702230+00:00]   replay [Q5_per_entity_comp_confirmed_cols] -> [{'column_name': 'comp_chyle_leak_confirmed'}, {'column_name': 'comp_hematoma_confirmed'}]...
[2026-04-18T05:12:44.771643+00:00]   replay [Q6_vc_paralysis_recalibration_v236] -> [{'n': 1}]
[2026-04-18T05:12:44.867192+00:00]   replay [Q7_tg_flag_split] -> [{'n_true': 60385, 'n_false': 13873, 'n_null': 0}]
