fpr,tpr,threshold,youdens_j
0.0,0.0,6.0,0.0
0.3048523206751055,0.555104800540906,5.0,0.25025247986580057
0.44145569620253167,0.7126436781609196,4.0,0.2711879819583879
0.7642405063291139,0.8701825557809331,3.0,0.10594204945181918
0.8713080168776371,0.9350912778904665,2.0,0.06378326101282938
1.0,1.0,1.0,0.0
1.0,1.0,0.0,0.0
