N,TP,FP,FN,TN,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi,lr_positive,lr_negative,diagnostic_odds_ratio,subgroup,subgroup_value
3375,1054,837,425,1059,0.7126436781609196,0.6890533840005417,0.7351322201032473,0.5585443037974683,0.5360969990020816,0.5807548566984482,0.5573770491803278,0.5348962355823795,0.5796252189645649,0.7136118598382749,0.6900827995765926,0.7360378709029938,1.6143039591315453,0.5144736413662857,3.137777777777778,Overall,All
963,368,170,143,282,0.7201565557729941,0.6797013647661536,0.7573263767746876,0.6238938053097345,0.5783690481649908,0.6673304112254621,0.6840148698884758,0.6435433784099067,0.7218771644015323,0.6635294117647059,0.6173204092110111,0.7068086999060211,1.9147691953493724,0.44854339287449174,4.268860551213493,Age group,<45
1599,458,418,188,535,0.7089783281733746,0.6727971724890746,0.7426887838701658,0.5613850996852047,0.5296964084799896,0.5925809018533257,0.5228310502283106,0.48972751575431284,0.5557352202863537,0.739972337482711,0.7067894821311672,0.7706186180658278,1.6164027434192012,0.5183993518706056,3.1180647460042756,Age group,45-65
813,228,249,94,242,0.7080745341614907,0.6561954163265561,0.7550475252100465,0.49287169042769857,0.44887749959776996,0.5369765555238797,0.4779874213836478,0.43351556689858173,0.522810994351972,0.7202380952380952,0.6699591134083939,0.7655380755266595,1.3962433585272769,0.5922950567219342,2.3573442706998207,Age group,>65
2691,778,694,327,892,0.7040723981900453,0.6764893846289551,0.7302414391622659,0.562421185372005,0.5378844779950279,0.58665624202549,0.5285326086956522,0.5029905192011158,0.5539261634804523,0.7317473338802297,0.7061764249802951,0.7558622112832194,1.6090184777080863,0.5261672381957266,3.057998219778089,Sex,Female
684,276,143,98,167,0.7379679144385026,0.6911432274706841,0.7799538314798278,0.5387096774193548,0.4830823098219925,0.5933894224028817,0.6587112171837709,0.6120536971671597,0.7024849962971409,0.630188679245283,0.5705918607254142,0.6860649819456414,1.5997905837478028,0.486406865413558,3.2889967175681463,Sex,Male
1169,831,0,338,0,0.7108639863130881,0.6842180020062426,0.7361286665841714,,0.0,0.0,1.0,0.9953985768434157,1.0,0.0,0.0,0.011237545129682716,,,,Histology,PTC
215,149,0,66,0,0.6930232558139535,0.6284314709536661,0.75083852864913,,0.0,0.0,1.0,0.9748663821299904,0.9999999999999999,0.0,0.0,0.05500255701354129,,,,Histology,FTC
58,0,28,0,30,,0.0,0.0,0.5172413793103449,0.3916226178340948,0.6407181457594501,0.0,1.3877787807814457e-17,0.12064330476584563,1.0,0.8864866068260312,0.9999999999999999,,,,Histology,NIFTP
88,15,35,11,27,0.5769230769230769,0.3894861374659171,0.7445555668634343,0.43548387096774194,0.31942588902489055,0.5590701202785123,0.3,0.19103553500880954,0.437503504644534,0.7105263157894737,0.5524286232424794,0.8299672217151693,1.021978021978022,0.9715099715099716,1.051948051948052,Bethesda,B1 Nondiagnostic
897,82,335,63,417,0.5655172413793104,0.4841749387406087,0.6434776665922164,0.5545212765957447,0.5188103082689585,0.5896780513507175,0.19664268585131894,0.16133728822747517,0.23748620053009395,0.86875,0.835592186516572,0.8960524329065606,1.2694595985589296,0.7835276606301166,1.620184790334044,Bethesda,B2 Benign
403,137,114,58,94,0.7025641025641025,0.6349922152118167,0.762309235242932,0.4519230769230769,0.38577057389305053,0.5198192001231476,0.545816733067729,0.48399252615151733,0.6062596647848982,0.618421052631579,0.5391784095013983,0.6918255882308122,1.2818713450292396,0.6581560283687944,1.9476709013914095,Bethesda,B3 AUS/FLUS
275,91,69,51,64,0.6408450704225352,0.5591849794122724,0.7150854531756127,0.48120300751879697,0.3980142409769718,0.565447124875963,0.56875,0.4912873839652816,0.6429887641986365,0.5565217391304348,0.46535755026879766,0.6440318844369322,1.2352520922637273,0.746368838028169,1.6550156294401819,Bethesda,B4 Follicular Neoplasm
129,85,9,31,4,0.7327586206896551,0.6457194624767324,0.8048758534630909,0.3076923076923077,0.12680703655710515,0.5763065681945096,0.9042553191489362,0.8279587926975853,0.9488080392369105,0.11428571428571428,0.04535179333097357,0.2595146864621381,1.0584291187739463,0.8685344827586208,1.2186379928315412,Bethesda,B5 Suspicious for Malignancy
588,411,43,81,53,0.8353658536585366,0.8000225478265459,0.865512764175943,0.5520833333333334,0.4525163859774741,0.6476424069540183,0.9052863436123348,0.874849224589888,0.9289224586209175,0.39552238805970147,0.31675513296250324,0.48011294838577423,1.8650028360748725,0.2982052462034055,6.254091300602928,Bethesda,B6 Malignant
306,69,52,48,137,0.5897435897435898,0.49914435516947186,0.6746370622756785,0.7248677248677249,0.657199215349752,0.783577371385333,0.5702479338842975,0.4812215153961149,0.6549511964625038,0.7405405405405405,0.6729377073531784,0.7983571055327248,2.1434911242603554,0.5659741718135879,3.7872596153846154,Time period,Pre-2017
1204,316,214,221,453,0.5884543761638734,0.546347103291204,0.6293051113284884,0.679160419790105,0.6427957214877349,0.7134732551198679,0.5962264150943396,0.5539068396233894,0.6371611231858828,0.672106824925816,0.6357777754279532,0.7064851490081423,1.8341077986042225,0.6059623203061731,3.026768723305282,Time period,2017-2020
1865,669,571,156,469,0.8109090909090909,0.7827708128352407,0.8361654077658801,0.45096153846153847,0.4209557172997992,0.4813282941867373,0.5395161290322581,0.511694123121174,0.5670940530607933,0.7504,0.7150101364306807,0.7827305828071833,1.4769622671549114,0.4193060670672611,3.5223966051461675,Time period,Post-2020
