src_table,tgt_table,status,detail
canonical_patient_master_v221,canonical_patient_master,OK,"10,871 rows, 1377 col-comments"
complication_patient_summary_v1,complication_patient_summary_v1,OK,"2,892 rows, 0 col-comments"
imaging_patient_summary_v1,imaging_patient_summary_v1,OK,"6,126 rows, 0 col-comments"
tg_timeline_patient_summary_v1,tg_timeline_patient_summary_v1,OK,"3,258 rows, 0 col-comments"
ln_master_rollup_v1,ln_master_rollup_v1,OK,"4,290 rows, 0 col-comments"
tirads_llm_validation_v2,tirads_llm_validation_v2,OK,"1,225 rows, 0 col-comments"
thyroid_scoring_py_v1,thyroid_scoring_py_v1,OK,"10,871 rows, 0 col-comments"
path_outcome_classification_v1,path_outcome_classification_v1,OK,"10,871 rows, 0 col-comments"
patient_analysis_resolved_v1,patient_analysis_resolved_v1,OK,"10,871 rows, 0 col-comments"
canonical_diagnosis_unified_v1,canonical_diagnosis_unified_v1,OK,"11,259 rows, 0 col-comments"
canonical_benign_diagnosis_v1,canonical_benign_diagnosis_v1,OK,"6,818 rows, 0 col-comments"
canonical_malignant_diagnosis_v1,canonical_malignant_diagnosis_v1,OK,"4,441 rows, 0 col-comments"
canonical_recurrence_v1,canonical_recurrence_v1,OK,"10,871 rows, 0 col-comments"
canonical_survival_followup_v1,canonical_survival_followup_v1,OK,"11,504 rows, 0 col-comments"
canonical_molecular_tested_v1,canonical_molecular_tested_v1,OK,"1,286 rows, 0 col-comments"
manuscript_cohort_v1,manuscript_cohort_v1,OK,"10,871 rows, 0 col-comments"
ultrasound_reports,ultrasound_reports,OK,"6,793 rows, 0 col-comments"
us_nodules_tirads,us_nodules_tirads,OK,"10,862 rows, 0 col-comments"
imaging_nodule_master_v1,imaging_nodule_master_v1,OK,"37,016 rows, 0 col-comments"
imaging_nodule_long_v2,imaging_nodule_long_v2,OK,"19,891 rows, 0 col-comments"
imaging_exam_master_v1,imaging_exam_master_v1,OK,"13,347 rows, 0 col-comments"
tirads_llm_extracted_v2,tirads_llm_extracted_v2,OK,"5,636 rows, 0 col-comments"
extracted_tirads_validated_v1,extracted_tirads_validated_v1,OK,"3,439 rows, 0 col-comments"
ct_imaging,ct_imaging,OK,"7,701 rows, 0 col-comments"
mri_imaging,mri_imaging,OK,"715 rows, 0 col-comments"
nuclear_med,nuclear_med,OK,"2,220 rows, 0 col-comments"
fna_episode_master_v2,fna_episode_master_v2,OK,"8,119 rows, 0 col-comments"
fna_cytology,fna_cytology,OK,"8,063 rows, 0 col-comments"
fna_history,fna_history,OK,"8,119 rows, 0 col-comments"
extracted_fna_bethesda_v1,extracted_fna_bethesda_v1,OK,"5,249 rows, 0 col-comments"
md_extracted_fna_bethesda_v1,md_extracted_fna_bethesda_v1,OK,"5,249 rows, 0 col-comments"
molecular_results,molecular_results,OK,"10,862 rows, 0 col-comments"
molecular_testing,molecular_testing,OK,"10,862 rows, 0 col-comments"
molecular_test_episode_v2,molecular_test_episode_v2,OK,"10,126 rows, 0 col-comments"
molecular_variant_long,molecular_variant_long,OK,"1,640 rows, 0 col-comments"
molecular_assay_dictionary,molecular_assay_dictionary,OK,"4 rows, 0 col-comments"
molecular_code_crosswalk,molecular_code_crosswalk,OK,"44 rows, 0 col-comments"
molecular_ingestion_runs,molecular_ingestion_runs,OK,"1 rows, 0 col-comments"
thyroseq_molecular_enrichment,thyroseq_molecular_enrichment,OK,"10,862 rows, 0 col-comments"
specimen_genomic_assay_v1,specimen_genomic_assay_v1,OK,"10,370 rows, 0 col-comments"
extracted_braf_recovery_v1,extracted_braf_recovery_v1,OK,"730 rows, 0 col-comments"
extracted_ras_patient_summary_v1,extracted_ras_patient_summary_v1,OK,"321 rows, 0 col-comments"
analysis_molecular_subset_v1,analysis_molecular_subset_v1,OK,"10,025 rows, 0 col-comments"
tumor_pathology,tumor_pathology,OK,"4,290 rows, 0 col-comments"
path_synoptics,path_synoptics,OK,"11,688 rows, 0 col-comments"
synoptic_tumor_long_v1,synoptic_tumor_long_v1,OK,"11,103 rows, 0 col-comments"
md_synoptic_tumor_long_v1,md_synoptic_tumor_long_v1,OK,"11,103 rows, 0 col-comments"
tumor_episode_master_v2,tumor_episode_master_v2,OK,"11,691 rows, 0 col-comments"
specimen_master_v1,specimen_master_v1,OK,"10,139 rows, 0 col-comments"
specimen_tumor_focus_v1,specimen_tumor_focus_v1,OK,"11,103 rows, 0 col-comments"
specimen_source_xref_v1,specimen_source_xref_v1,OK,"11,273 rows, 0 col-comments"
lesion_analysis_resolved_v1,lesion_analysis_resolved_v1,OK,"11,851 rows, 0 col-comments"
extracted_ete_subgraded_v1,extracted_ete_subgraded_v1,OK,"3,558 rows, 0 col-comments"
longitudinal_lab_canonical_v1,longitudinal_lab_canonical_v1,OK,"77,960 rows, 0 col-comments"
thyroglobulin_lab_canonical_v1,thyroglobulin_lab_canonical_v1,OK,"76,971 rows, 0 col-comments"
tg_postop_surveillance_windows_v1,tg_postop_surveillance_windows_v1,OK,"16,184 rows, 0 col-comments"
extracted_postop_labs_expanded_v1,extracted_postop_labs_expanded_v1,OK,"1,395 rows, 0 col-comments"
lab_cross_wave_dedup_map_v1,lab_cross_wave_dedup_map_v1,OK,"21,761 rows, 0 col-comments"
operative_episode_detail_v2,operative_episode_detail_v2,OK,"9,371 rows, 0 col-comments"
episode_analysis_resolved_v1_dedup,episode_analysis_resolved_v1_dedup,OK,"9,368 rows, 0 col-comments"
rai_treatment_episode_v2,rai_treatment_episode_v2,OK,"1,857 rows, 0 col-comments"
recurrence_event_clean_v1,recurrence_event_clean_v1,OK,"1,946 rows, 0 col-comments"
survival_cohort_enriched,survival_cohort_enriched,OK,"61,134 rows, 0 col-comments"
complication_phenotype_v1,complication_phenotype_v1,OK,"5,928 rows, 0 col-comments"
extracted_complications_refined_v5,extracted_complications_refined_v5,OK,"358 rows, 0 col-comments"
extracted_rln_injury_refined_v2,extracted_rln_injury_refined_v2,OK,"92 rows, 0 col-comments"
ln_crossval_v1,ln_crossval_v1,OK,"4,290 rows, 0 col-comments"
imaging_fna_linkage_v3,imaging_fna_linkage_v3,OK,"9,911 rows, 0 col-comments"
clinical_notes_long,clinical_notes_long,OK,"11,050 rows, 0 col-comments"
clinical_note_ln_extracted_v1,clinical_note_ln_extracted_v1,OK,"7,751 rows, 0 col-comments"
nsqip_enrichment,nsqip_enrichment,OK,"1,275 rows, 0 col-comments"
nsqip_patient_summary,nsqip_patient_summary,OK,"1,261 rows, 0 col-comments"
thyroid_weights,thyroid_weights,OK,"10,001 rows, 0 col-comments"
thyroid_sizes,thyroid_sizes,OK,"11,675 rows, 0 col-comments"
patient_completion_oed_path_linkage_v1,patient_completion_oed_path_linkage_v1,OK,"11,506 rows, 0 col-comments"
patient_cross_domain_timeline_v2,patient_cross_domain_timeline_v2,OK,"61,055 rows, 0 col-comments"
data_dictionary_v221,data_dictionary_v221,OK,"1,374 rows, 0 col-comments"
data_dictionary_v2,data_dictionary_v2,OK,"1,374 rows, 0 col-comments"
data_dictionary_parquet_v221,data_dictionary_parquet_v221,OK,"1,374 rows, 0 col-comments"
note_entities_llm_tirads_granular,note_entities_llm_tirads_granular,OK,"11,037 rows, 0 col-comments"
note_entities_llm_cervical_ln_detail,note_entities_llm_cervical_ln_detail,OK,"11,037 rows, 0 col-comments"
note_entities_llm_pathology,note_entities_llm_pathology,OK,"11,037 rows, 0 col-comments"
note_entities_llm_recurrence,note_entities_llm_recurrence,OK,"11,037 rows, 0 col-comments"
note_entities_llm_survival_followup,note_entities_llm_survival_followup,OK,"11,037 rows, 0 col-comments"
note_entities_llm_rai_detailed,note_entities_llm_rai_detailed,OK,"11,037 rows, 0 col-comments"
note_entities_llm_tg_kinetics,note_entities_llm_tg_kinetics,OK,"11,037 rows, 0 col-comments"
note_entities_llm_imaging,note_entities_llm_imaging,OK,"11,037 rows, 0 col-comments"
note_entities_llm_labs,note_entities_llm_labs,OK,"11,037 rows, 0 col-comments"
note_entities_llm_frozen_section_detail,note_entities_llm_frozen_section_detail,OK,"11,037 rows, 0 col-comments"
note_entities_llm_airway_invasion,note_entities_llm_airway_invasion,OK,"11,037 rows, 0 col-comments"
note_entities_llm_vascular_invasion,note_entities_llm_vascular_invasion,OK,"11,037 rows, 0 col-comments"
note_entities_llm_functional_outcomes,note_entities_llm_functional_outcomes,OK,"11,037 rows, 0 col-comments"
note_entities_llm_parathyroid_detail,note_entities_llm_parathyroid_detail,OK,"11,037 rows, 0 col-comments"
note_entities_llm_dynamic_risk_response,note_entities_llm_dynamic_risk_response,OK,"11,037 rows, 0 col-comments"
note_entities_llm_past_medical_hx,note_entities_llm_past_medical_hx,OK,"11,037 rows, 0 col-comments"
note_entities_llm_past_surgical_hx,note_entities_llm_past_surgical_hx,OK,"11,037 rows, 0 col-comments"
note_entities_llm_presenting_symptoms,note_entities_llm_presenting_symptoms,OK,"11,037 rows, 0 col-comments"
note_entities_llm_physical_exam,note_entities_llm_physical_exam,OK,"11,037 rows, 0 col-comments"
note_entities_llm_rad_treatment,note_entities_llm_rad_treatment,OK,"11,037 rows, 0 col-comments"
note_entities_llm_patient_decision_adherence,note_entities_llm_patient_decision_adherence,OK,"11,037 rows, 0 col-comments"
note_entities_llm_synoptic_pathology_enrichment,note_entities_llm_synoptic_pathology_enrichment,OK,"11,037 rows, 0 col-comments"
note_entities_llm_us_nodule_dynamics,note_entities_llm_us_nodule_dynamics,OK,"11,037 rows, 0 col-comments"
note_entities_complications,note_entities_complications,OK,"9,359 rows, 0 col-comments"
note_entities_genetics,note_entities_genetics,OK,"1,738 rows, 0 col-comments"
note_entities_medications,note_entities_medications,OK,"7,501 rows, 0 col-comments"
note_entities_operative_detail,note_entities_operative_detail,OK,"12,151 rows, 0 col-comments"
note_entities_problem_list,note_entities_problem_list,OK,"11,579 rows, 0 col-comments"
note_entities_procedures,note_entities_procedures,OK,"21,942 rows, 0 col-comments"
note_entities_staging,note_entities_staging,OK,"3,807 rows, 0 col-comments"
