table,status,detail
mri_imaging,OK,715 rows × 41 cols
nsqip_enrichment,OK,1275 rows × 94 cols
nsqip_patient_summary,OK,1261 rows × 94 cols
patient_completion_oed_path_linkage_v1,OK,11506 rows × 24 cols
thyroid_weights,OK,10001 rows × 9 cols
thyroid_sizes,OK,11675 rows × 16 cols
