predictor,coef,OR,p,ci_low,ci_high
const,1.2120234614121357,3.360277169219729,,,
age_at_surgery,-0.017483270092636324,0.9826686754834645,0.0,0.9819451700197375,0.983392714032105
sex_f,-2.0715082416205175,0.1259956065082779,0.0,0.12280023648975802,0.1292741228614232
bethesda_ge4,0.4694658195608755,1.5991397358541537,0.0,1.5691420634325814,1.6297108811126872
plat_thyroseq,-0.30092814996980427,0.7401309492673711,,,
plat_afirma,1.5108239676822568,4.530462211267421,,,
