variable,lobectomy,total
n,238.0,320.0
age_mean,56.588235294117645,52.928125
female_pct,0.8025210084033614,0.803125
bethesda_mean,2.8,3.982142857142857
molecular_tested_pct,0.04201680672268908,0.03125
