Race,N,Pct_of_cohort,Female_pct,Age_mean_SD,Weight_g_median_IQR,Nodule_cm_median_IQR,Substernal_pct,Incidental_cancer_pct,Graves_pct,Thyroiditis_pct
Black,2991,48.1,84.1,54.5 (13.3),83 [43-163],1.3 [0.5-3.0],6.1,16.1,1.2,9.9
White,2555,41.1,77.8,56.4 (14.7),30 [18-58],1.1 [0.4-2.3],3.4,32.8,0.9,22.5
Asian,214,3.4,82.7,50.9 (13.9),32 [21-51],1.2 [0.7-2.0],0.5,44.9,1.4,22.9
Hispanic,6,0.1,83.3,46.7 (17.2),—,—,0.0,0.0,0.0,33.3
NHPI,10,0.2,80.0,49.8 (21.4),—,—,0.0,20.0,0.0,10.0
Unknown/Other,442,7.1,79.0,51.5 (15.2),38 [20-83],1.4 [0.5-2.8],3.8,27.1,1.8,22.9
TOTAL,6218,100.0,81.1,54.9 (14.2),51 [25-114],1.2 [0.4-2.5],4.6,24.8,1.1,16.5
