Group,N,RLN Injury,Hypocalcemia,Hypoparathyroidism,Hematoma,Seroma,Chyle Leak
Black,2991,17 (0.6%),26 (0.9%),16 (0.5%),13 (0.4%),4 (0.1%),3 (0.1%)
White,2555,9 (0.4%),12 (0.5%),15 (0.6%),17 (0.7%),11 (0.4%),2 (0.1%)
Asian,214,0 (0.0%),2 (0.9%),2 (0.9%),1 (0.5%),0 (0.0%),2 (0.9%)
Unknown/Other,442,0 (0.0%),4 (0.9%),0 (0.0%),6 (1.4%),3 (0.7%),1 (0.2%)
Male,1175,6 (0.5%),8 (0.7%),4 (0.3%),7 (0.6%),1 (0.1%),1 (0.1%)
Female,5043,20 (0.4%),36 (0.7%),30 (0.6%),30 (0.6%),17 (0.3%),7 (0.1%)
Goiter: Cervical,5933,24 (0.4%),42 (0.7%),32 (0.5%),34 (0.6%),17 (0.3%),8 (0.1%)
Goiter: Substernal,285,2 (0.7%),2 (0.7%),2 (0.7%),3 (1.1%),1 (0.4%),0 (0.0%)
