surgery_year,bethesda_category,n_patients,n_tested_preop,pct_tested
1999,4,1,0.0,0.0
1999,5,2,0.0,0.0
2000,3,1,0.0,0.0
2000,4,1,0.0,0.0
2000,5,1,0.0,0.0
2001,3,1,0.0,0.0
2001,4,2,0.0,0.0
2001,5,1,0.0,0.0
2002,4,1,0.0,0.0
2002,5,2,0.0,0.0
2003,4,4,0.0,0.0
2004,4,1,0.0,0.0
2004,5,2,0.0,0.0
2005,3,1,0.0,0.0
2005,4,6,0.0,0.0
2005,5,1,0.0,0.0
2006,3,3,0.0,0.0
2006,4,3,0.0,0.0
2006,5,3,0.0,0.0
2007,3,1,0.0,0.0
2007,4,6,0.0,0.0
2008,3,3,0.0,0.0
2008,4,8,0.0,0.0
2008,5,2,0.0,0.0
2009,3,3,0.0,0.0
2009,4,10,0.0,0.0
2009,5,5,0.0,0.0
2010,3,5,0.0,0.0
2010,4,6,0.0,0.0
2010,5,5,0.0,0.0
2011,3,6,0.0,0.0
2011,4,14,0.0,0.0
2011,5,6,0.0,0.0
2012,3,6,0.0,0.0
2012,4,5,0.0,0.0
2012,5,2,0.0,0.0
2013,3,6,0.0,0.0
2013,4,7,0.0,0.0
2013,5,12,0.0,0.0
2014,3,6,0.0,0.0
2014,4,4,0.0,0.0
2014,5,11,0.0,0.0
2015,3,11,2.0,18.18
2015,4,10,3.0,30.0
2015,5,11,1.0,9.09
2016,3,15,4.0,26.67
2016,4,17,8.0,47.06
2016,5,13,1.0,7.69
2017,3,24,5.0,20.83
2017,4,26,7.0,26.92
2017,5,32,3.0,9.38
2018,3,26,3.0,11.54
2018,4,16,1.0,6.25
2018,5,23,1.0,4.35
2019,3,40,6.0,15.0
2019,4,25,5.0,20.0
2019,5,20,1.0,5.0
2020,3,18,2.0,11.11
2020,4,16,2.0,12.5
2020,5,15,0.0,0.0
2021,3,25,0.0,0.0
2021,4,16,3.0,18.75
2021,5,11,1.0,9.09
2022,3,24,5.0,20.83
2022,4,17,4.0,23.53
2022,5,14,1.0,7.14
