tier,limitation_category,n_fields,manuscript_yes,manuscript_conditional,manuscript_no,table1_eligible_count,regression_eligible_count,computed_at
CANONICAL,review,10,9.0,1.0,0.0,10.0,10.0,2026-03-15 03:46:18.267175-04:00
CANONICAL,template,2,2.0,0.0,0.0,2.0,2.0,2026-03-15 03:46:18.267175-04:00
DERIVED_APPROXIMATE,pipeline,1,0.0,1.0,0.0,0.0,0.0,2026-03-15 03:46:18.267175-04:00
DERIVED_APPROXIMATE,source_feed,2,0.0,2.0,0.0,0.0,0.0,2026-03-15 03:46:18.267175-04:00
DERIVED_APPROXIMATE,template,1,0.0,1.0,0.0,0.0,0.0,2026-03-15 03:46:18.267175-04:00
MANUAL_REVIEW_ONLY,template,1,0.0,1.0,0.0,0.0,0.0,2026-03-15 03:46:18.267175-04:00
SOURCE_LIMITED,pipeline,6,0.0,5.0,1.0,6.0,6.0,2026-03-15 03:46:18.267175-04:00
SOURCE_LIMITED,review,2,0.0,2.0,0.0,2.0,2.0,2026-03-15 03:46:18.267175-04:00
SOURCE_LIMITED,source_feed,9,0.0,4.0,5.0,9.0,9.0,2026-03-15 03:46:18.267175-04:00
SOURCE_LIMITED,template,1,0.0,1.0,0.0,1.0,1.0,2026-03-15 03:46:18.267175-04:00
