commit,line_start,line_end,author,author_time,summary,note
51e201a110d75cd9cfb1c2fdb9d9705cda116c99,115,171,Logan Glosser,2026-04-30T00:02:43-04:00,"qc: chain apply close-out (188b/186b/185b/187 + Script 366 patch deployed; CF-87-AJCC + CF-mig171b-EXAM-MASTER-REBUILD CLOSED; gate1=172, all gates clean; CF-mig187-SCRIPT-366-EXAM-DATE-FILTER-REGRESSION carry-forward)",Most recent Script 366 history entry; line blame for affected CTE region is preserved in git_blame_115_171_porcelain.txt
87ccd4cfa2373a33799fb01f3ac7db17069a2bb9,115,171,ry86pkqf74-rgb,2026-04-21T19:51:11-04:00,"migrate: main VIEWs → _VIEW suffix (US + molecular readers, registry, outputs, QA)",Most recent Script 366 history entry; line blame for affected CTE region is preserved in git_blame_115_171_porcelain.txt
dab2f7ec6a69be77aa68926a74cf37e406f707a9,115,171,ry86pkqf74-rgb,2026-04-21T16:55:02-04:00,"US schema hygiene: rollups → views, raw feeds → raw schema",Most recent Script 366 history entry; line blame for affected CTE region is preserved in git_blame_115_171_porcelain.txt
aea40436a854ca8ba8c91018747f10616a48d64d,115,171,ry86pkqf74-rgb,2026-04-21T13:33:43-04:00,feat(us-v2): Phase 6-7 — exam/patient masters + CPM cutover + wide views/registry,Most recent Script 366 history entry; line blame for affected CTE region is preserved in git_blame_115_171_porcelain.txt
