Bethesda,Bethesda_num,Total_in_category,N_molecular_tested,Pct_molecular_tested,ROM_with_molecular_pct,ROM_without_molecular_pct,N_mal_with_mol,N_total_with_mol,N_mal_without_mol,N_total_without_mol
III (AUS/FLUS),3,327,192,58.7,91.7,94.8,176,192,128,135
IV (FN/SFN),4,307,141,45.9,96.5,97.6,136,141,162,166
