Metric,Value_pct,CI_lo,CI_hi,Numerator,Denominator,Threshold,NIFTP_handling,TP,FP,FN,TN
Sensitivity,55.8,53.8,57.8,1302,2333,V–VI (suspicious/malignant),Including NIFTP,1302,10,1031,58
Specificity,85.3,75.0,91.8,58,68,V–VI (suspicious/malignant),Including NIFTP,1302,10,1031,58
PPV,99.2,98.6,99.6,1302,1312,V–VI (suspicious/malignant),Including NIFTP,1302,10,1031,58
NPV,5.3,4.1,6.8,58,1089,V–VI (suspicious/malignant),Including NIFTP,1302,10,1031,58
Sensitivity,55.8,53.8,57.8,1302,2333,V–VI (suspicious/malignant),Excluding NIFTP,1302,10,1031,58
Specificity,85.3,75.0,91.8,58,68,V–VI (suspicious/malignant),Excluding NIFTP,1302,10,1031,58
PPV,99.2,98.6,99.6,1302,1312,V–VI (suspicious/malignant),Excluding NIFTP,1302,10,1031,58
NPV,5.3,4.1,6.8,58,1089,V–VI (suspicious/malignant),Excluding NIFTP,1302,10,1031,58
Sensitivity,68.6,66.7,70.4,1600,2333,IV–VI (FN/SFN through malignant),Including NIFTP,1600,19,733,49
Specificity,72.1,60.4,81.3,49,68,IV–VI (FN/SFN through malignant),Including NIFTP,1600,19,733,49
PPV,98.8,98.2,99.2,1600,1619,IV–VI (FN/SFN through malignant),Including NIFTP,1600,19,733,49
NPV,6.3,4.8,8.2,49,782,IV–VI (FN/SFN through malignant),Including NIFTP,1600,19,733,49
Sensitivity,68.6,66.7,70.4,1600,2333,IV–VI (FN/SFN through malignant),Excluding NIFTP,1600,19,733,49
Specificity,72.1,60.4,81.3,49,68,IV–VI (FN/SFN through malignant),Excluding NIFTP,1600,19,733,49
PPV,98.8,98.2,99.2,1600,1619,IV–VI (FN/SFN through malignant),Excluding NIFTP,1600,19,733,49
NPV,6.3,4.8,8.2,49,782,IV–VI (FN/SFN through malignant),Excluding NIFTP,1600,19,733,49
Sensitivity,45.5,43.5,47.5,1062,2333,VI only (malignant),Including NIFTP,1062,7,1271,61
Specificity,89.7,80.2,94.9,61,68,VI only (malignant),Including NIFTP,1062,7,1271,61
PPV,99.3,98.7,99.7,1062,1069,VI only (malignant),Including NIFTP,1062,7,1271,61
NPV,4.6,3.6,5.8,61,1332,VI only (malignant),Including NIFTP,1062,7,1271,61
Sensitivity,45.5,43.5,47.5,1062,2333,VI only (malignant),Excluding NIFTP,1062,7,1271,61
Specificity,89.7,80.2,94.9,61,68,VI only (malignant),Excluding NIFTP,1062,7,1271,61
PPV,99.3,98.7,99.7,1062,1069,VI only (malignant),Excluding NIFTP,1062,7,1271,61
NPV,4.6,3.6,5.8,61,1332,VI only (malignant),Excluding NIFTP,1062,7,1271,61
