field,upstream_table,upstream_nonzero,upstream_pct,downstream_table,downstream_nonzero,downstream_pct,status
rln_monitoring_flag,operative_episode_detail_v2,1702,18.2,episode_analysis_resolved_v1,0,0.0,PIPELINE_LIMITED: present upstream but not materialized in analytic table
rln_finding_raw,operative_episode_detail_v2,371,4.0,episode_analysis_resolved_v1,0,0.0,PIPELINE_LIMITED: present upstream but not materialized in analytic table
parathyroid_autograft_flag,operative_episode_detail_v2,40,0.4,episode_analysis_resolved_v1,40,0.4,OK
gross_ete_flag,operative_episode_detail_v2,22,0.2,episode_analysis_resolved_v1,0,0.0,PIPELINE_LIMITED: present upstream but not materialized in analytic table
local_invasion_flag,operative_episode_detail_v2,25,0.3,episode_analysis_resolved_v1,25,0.3,OK
tracheal_involvement_flag,operative_episode_detail_v2,9,0.1,episode_analysis_resolved_v1,9,0.1,OK
esophageal_involvement_flag,operative_episode_detail_v2,0,0.0,episode_analysis_resolved_v1,0,0.0,SOURCE_LIMITED: 0% upstream — extractor output never materialized or entity type not in NLP vocab
strap_muscle_involvement_flag,operative_episode_detail_v2,186,2.0,episode_analysis_resolved_v1,186,1.9,OK
reoperative_field_flag,operative_episode_detail_v2,46,0.5,episode_analysis_resolved_v1,49,0.5,OK
drain_flag,operative_episode_detail_v2,169,1.8,episode_analysis_resolved_v1,0,0.0,PIPELINE_LIMITED: present upstream but not materialized in analytic table
operative_findings_raw,operative_episode_detail_v2,588,6.3,episode_analysis_resolved_v1,594,6.2,OK
parathyroid_identified_count,operative_episode_detail_v2,0,0.0,N/A,N/A,N/A,NOT_PROPAGATED: no downstream analytic table target
frozen_section_flag,operative_episode_detail_v2,0,0.0,N/A,N/A,N/A,NOT_PROPAGATED: no downstream analytic table target
berry_ligament_flag,operative_episode_detail_v2,0,0.0,N/A,N/A,N/A,NOT_PROPAGATED: no downstream analytic table target
ebl_ml_nlp,operative_episode_detail_v2,0,0.0,N/A,N/A,N/A,NOT_PROPAGATED: no downstream analytic table target
op_rln_monitoring_any,patient_analysis_resolved_v1,1701,15.6,N/A,N/A,N/A,patient_agg
op_drain_placed_any,patient_analysis_resolved_v1,169,1.6,N/A,N/A,N/A,patient_agg
op_strap_muscle_any,patient_analysis_resolved_v1,186,1.7,N/A,N/A,N/A,patient_agg
op_reoperative_any,patient_analysis_resolved_v1,46,0.4,N/A,N/A,N/A,patient_agg
op_parathyroid_autograft_any,patient_analysis_resolved_v1,40,0.4,N/A,N/A,N/A,patient_agg
op_local_invasion_any,patient_analysis_resolved_v1,25,0.2,N/A,N/A,N/A,patient_agg
op_tracheal_inv_any,patient_analysis_resolved_v1,9,0.1,N/A,N/A,N/A,patient_agg
op_esophageal_inv_any,patient_analysis_resolved_v1,0,0.0,N/A,N/A,N/A,patient_agg
op_intraop_gross_ete_any,patient_analysis_resolved_v1,22,0.2,N/A,N/A,N/A,patient_agg
op_n_surgeries_with_findings,patient_analysis_resolved_v1,8733,80.3,N/A,N/A,N/A,patient_agg
op_findings_summary,patient_analysis_resolved_v1,587,5.4,N/A,N/A,N/A,patient_agg
