table_name,src_cols_commented,tgt_cols_commented,coverage_delta_pct,status
analysis_molecular_subset_v1,0,0,0.0,PASS
canonical_benign_diagnosis_v1,0,0,0.0,PASS
canonical_diagnosis_unified_v1,0,0,0.0,PASS
canonical_malignant_diagnosis_v1,0,0,0.0,PASS
canonical_molecular_tested_v1,0,0,0.0,PASS
canonical_recurrence_v1,0,0,0.0,PASS
canonical_survival_followup_v1,0,0,0.0,PASS
clinical_note_ln_extracted_v1,0,0,0.0,PASS
clinical_notes_long,0,0,0.0,PASS
complication_patient_summary_v1,0,0,0.0,PASS
complication_phenotype_v1,0,0,0.0,PASS
ct_imaging,0,0,0.0,PASS
data_dictionary_parquet_v221,0,0,0.0,PASS
data_dictionary_v2,0,0,0.0,PASS
data_dictionary_v221,0,0,0.0,PASS
episode_analysis_resolved_v1_dedup,0,0,0.0,PASS
extracted_braf_recovery_v1,0,0,0.0,PASS
extracted_complications_refined_v5,0,0,0.0,PASS
extracted_ete_subgraded_v1,0,0,0.0,PASS
extracted_fna_bethesda_v1,0,0,0.0,PASS
extracted_postop_labs_expanded_v1,0,0,0.0,PASS
extracted_ras_patient_summary_v1,0,0,0.0,PASS
extracted_rln_injury_refined_v2,0,0,0.0,PASS
extracted_tirads_validated_v1,0,0,0.0,PASS
fna_cytology,0,0,0.0,PASS
fna_episode_master_v2,0,0,0.0,PASS
fna_history,0,0,0.0,PASS
imaging_exam_master_v1,0,0,0.0,PASS
imaging_fna_linkage_v3,0,0,0.0,PASS
imaging_nodule_long_v2,0,0,0.0,PASS
imaging_nodule_master_v1,0,0,0.0,PASS
imaging_patient_summary_v1,0,0,0.0,PASS
lab_cross_wave_dedup_map_v1,0,0,0.0,PASS
lesion_analysis_resolved_v1,0,0,0.0,PASS
ln_crossval_v1,0,0,0.0,PASS
ln_master_rollup_v1,0,0,0.0,PASS
longitudinal_lab_canonical_v1,0,0,0.0,PASS
manuscript_cohort_v1,0,0,0.0,PASS
md_extracted_fna_bethesda_v1,0,0,0.0,PASS
md_synoptic_tumor_long_v1,0,0,0.0,PASS
molecular_assay_dictionary,0,0,0.0,PASS
molecular_code_crosswalk,0,0,0.0,PASS
molecular_ingestion_runs,0,0,0.0,PASS
molecular_results,0,0,0.0,PASS
molecular_test_episode_v2,0,0,0.0,PASS
molecular_testing,0,0,0.0,PASS
molecular_variant_long,0,0,0.0,PASS
mri_imaging,0,0,0.0,PASS
note_entities_complications,0,0,0.0,PASS
note_entities_genetics,0,0,0.0,PASS
note_entities_llm_airway_invasion,0,0,0.0,PASS
note_entities_llm_cervical_ln_detail,0,0,0.0,PASS
note_entities_llm_dynamic_risk_response,0,0,0.0,PASS
note_entities_llm_frozen_section_detail,0,0,0.0,PASS
note_entities_llm_functional_outcomes,0,0,0.0,PASS
note_entities_llm_imaging,0,0,0.0,PASS
note_entities_llm_labs,0,0,0.0,PASS
note_entities_llm_parathyroid_detail,0,0,0.0,PASS
note_entities_llm_past_medical_hx,0,0,0.0,PASS
note_entities_llm_past_surgical_hx,0,0,0.0,PASS
note_entities_llm_pathology,0,0,0.0,PASS
note_entities_llm_patient_decision_adherence,0,0,0.0,PASS
note_entities_llm_physical_exam,0,0,0.0,PASS
note_entities_llm_presenting_symptoms,0,0,0.0,PASS
note_entities_llm_rad_treatment,0,0,0.0,PASS
note_entities_llm_rai_detailed,0,0,0.0,PASS
note_entities_llm_recurrence,0,0,0.0,PASS
note_entities_llm_survival_followup,0,0,0.0,PASS
note_entities_llm_synoptic_pathology_enrichment,0,0,0.0,PASS
note_entities_llm_tg_kinetics,0,0,0.0,PASS
note_entities_llm_tirads_granular,0,0,0.0,PASS
note_entities_llm_us_nodule_dynamics,0,0,0.0,PASS
note_entities_llm_vascular_invasion,0,0,0.0,PASS
note_entities_medications,0,0,0.0,PASS
note_entities_operative_detail,0,0,0.0,PASS
note_entities_problem_list,0,0,0.0,PASS
note_entities_procedures,0,0,0.0,PASS
note_entities_staging,0,0,0.0,PASS
nsqip_enrichment,0,0,0.0,PASS
nsqip_patient_summary,0,0,0.0,PASS
nuclear_med,0,0,0.0,PASS
operative_episode_detail_v2,0,0,0.0,PASS
path_outcome_classification_v1,0,0,0.0,PASS
path_synoptics,0,0,0.0,PASS
patient_analysis_resolved_v1,0,0,0.0,PASS
patient_completion_oed_path_linkage_v1,0,0,0.0,PASS
patient_cross_domain_timeline_v2,0,0,0.0,PASS
rai_treatment_episode_v2,0,0,0.0,PASS
recurrence_event_clean_v1,0,0,0.0,PASS
specimen_genomic_assay_v1,0,0,0.0,PASS
specimen_master_v1,0,0,0.0,PASS
specimen_source_xref_v1,0,0,0.0,PASS
specimen_tumor_focus_v1,0,0,0.0,PASS
survival_cohort_enriched,0,0,0.0,PASS
synoptic_tumor_long_v1,0,0,0.0,PASS
tg_postop_surveillance_windows_v1,0,0,0.0,PASS
tg_timeline_patient_summary_v1,0,0,0.0,PASS
thyroglobulin_lab_canonical_v1,0,0,0.0,PASS
thyroid_scoring_py_v1,0,0,0.0,PASS
thyroid_sizes,0,0,0.0,PASS
thyroid_weights,0,0,0.0,PASS
thyroseq_molecular_enrichment,0,0,0.0,PASS
tirads_llm_extracted_v2,0,0,0.0,PASS
tirads_llm_validation_v2,0,0,0.0,PASS
tumor_episode_master_v2,0,0,0.0,PASS
tumor_pathology,0,0,0.0,PASS
ultrasound_reports,0,0,0.0,PASS
us_nodules_tirads,0,0,0.0,PASS
canonical_patient_master_v221 → canonical_patient_master,1377,1377,0.0,PASS
