domain,n_rows,n_pending,n_reviewed
airway_invasion,2045,0,2045
pathology,683,0,683
imaging,601,0,601
rai_detailed,564,0,564
vascular_invasion,370,0,370
functional_outcomes,346,0,346
survival_followup,279,0,279
physical_exam,247,0,247
past_surgical_hx,231,0,231
labs,99,0,99
patient_decision_adherence,52,0,52
cervical_ln_detail,37,0,37
recurrence,22,0,22
rad_treatment,16,0,16
past_medical_hx,11,0,11
synoptic_pathology_enrichment,7,0,7
presenting_symptoms,6,0,6
parathyroid_detail,2,0,2
frozen_section_detail,2,0,2
tirads_granular,1,0,1
dynamic_risk_response,1,0,1
