corpus,source_nodule_keys,deterministic_match_in_imaging_nodule_master_v1,unmatched_source_keys,notes
COMPLETE_excel,19891,19891,0,COMPLETE keys use same rid|date|nodule as imaging_nodule_master
scored_TIRADS_excel,19367,18840,527,
Imaging_12_inferred_slots,20910,20290,620,
