domain,qa_tier,algorithm_status,promotability_class,reviewer_channel,verification_status,n_rows
airway_invasion,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,4090
cervical_ln_detail,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,74
complications,critical,existing_missing_fill_candidate,placeholder_non_manuscript,clinician_led,SYNTHETIC_AUTOMATION_ONLY_NOT_MANUSCRIPT_SIGNOFF,203
dynamic_risk_response,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,2
frozen_section_detail,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,4
functional_outcomes,informational,existing_missing_fill_candidate,promotable_automated_governance,analyst_led,auto_accepted_informational,692
genetics,critical,existing_missing_fill_candidate,placeholder_non_manuscript,clinician_led,SYNTHETIC_AUTOMATION_ONLY_NOT_MANUSCRIPT_SIGNOFF,510
imaging,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,1202
labs,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,198
medications,standard,discordant_existing,promotable_confirmed,clinician_primary_plus_second,confirmed_correct,2
medications,standard,existing_missing_fill_candidate,placeholder_non_manuscript,analyst_led_with_clinical_spot,SYNTHETIC_AUTOMATION_ONLY_NOT_MANUSCRIPT_SIGNOFF,366
operative_detail,standard,existing_missing_fill_candidate,placeholder_non_manuscript,analyst_led_with_clinical_spot,SYNTHETIC_AUTOMATION_ONLY_NOT_MANUSCRIPT_SIGNOFF,1980
parathyroid_detail,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,4
past_medical_hx,informational,existing_missing_fill_candidate,promotable_automated_governance,analyst_led,auto_accepted_informational,22
past_surgical_hx,informational,existing_missing_fill_candidate,promotable_automated_governance,analyst_led,auto_accepted_informational,462
pathology,critical,existing_missing_fill_candidate,promotable_automated_governance,clinician_led,auto_accepted_critical_sample_ok,1366
patient_decision_adherence,informational,existing_missing_fill_candidate,promotable_automated_governance,analyst_led,auto_accepted_informational,104
physical_exam,informational,existing_missing_fill_candidate,promotable_automated_governance,analyst_led,auto_accepted_informational,494
presenting_symptoms,informational,existing_missing_fill_candidate,promotable_automated_governance,analyst_led,auto_accepted_informational,12
procedures,standard,existing_missing_fill_candidate,placeholder_non_manuscript,analyst_led_with_clinical_spot,SYNTHETIC_AUTOMATION_ONLY_NOT_MANUSCRIPT_SIGNOFF,1062
rad_treatment,standard,discordant_existing,promotable_confirmed,clinician_primary_plus_second,confirmed_correct,4
rad_treatment,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,28
rai_detailed,critical,existing_missing_fill_candidate,promotable_automated_governance,clinician_led,auto_accepted_critical_sample_ok,1128
recurrence,critical,existing_missing_fill_candidate,promotable_automated_governance,clinician_led,auto_accepted_critical_sample_ok,44
staging,critical,existing_missing_fill_candidate,placeholder_non_manuscript,clinician_led,SYNTHETIC_AUTOMATION_ONLY_NOT_MANUSCRIPT_SIGNOFF,1499
survival_followup,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,558
synoptic_pathology_enrichment,critical,existing_missing_fill_candidate,promotable_automated_governance,clinician_led,auto_accepted_critical_sample_ok,14
tirads_granular,standard,existing_missing_fill_candidate,promotable_automated_governance,analyst_led_with_clinical_spot,auto_accepted_standard,2
vascular_invasion,critical,existing_missing_fill_candidate,promotable_automated_governance,clinician_led,auto_accepted_critical_sample_ok,740
