raw_entity_type,normalized_entity_type,action,row_count
procedure,procedure,case_normalized,21945
problem,problem,case_normalized,11579
complication,complication,case_normalized,9359
medication,medication,case_normalized,7502
nerve_monitoring,nerve_monitoring,case_normalized,5557
T_stage,T_stage,aliased,3385
ultrasound_thyroid,ultrasound_thyroid,case_normalized,3259
vital_status,vital_status,case_normalized,2531
fna_cytology,fna_cytology,case_normalized,2464
last_followup_date,last_followup_date,case_normalized,2421
nodule_size,nodule_size,case_normalized,2080
surgical_pathology,surgical_pathology,case_normalized,2040
voice_quality,voice_quality,case_normalized,1924
gene,gene,case_normalized,1738
ebl,ebl,case_normalized,1683
vocal_cord_mobility,vocal_cord_mobility,case_normalized,1384
swallowing_function,swallowing_function,case_normalized,1378
rln_finding,rln_finding,case_normalized,1307
bethesda_class,bethesda_class,case_normalized,1197
parathyroid_management,parathyroid_management,case_normalized,1178
other_surgery,other_surgery,case_normalized,1168
tumor_size,tumor_size,case_normalized,1050
prior_thyroidectomy,prior_thyroidectomy,case_normalized,1021
nodule_location,nodule_location,case_normalized,984
prior_fna,prior_fna,case_normalized,938
molecular_testing,molecular_testing,case_normalized,926
berry_ligament,berry_ligament,case_normalized,726
treatment_episode_number,treatment_episode_number,case_normalized,700
tsh,tsh,case_normalized,695
ete_on_imaging,ete_on_imaging,case_normalized,688
swallowing_function_detail,swallowing_function_detail,case_normalized,682
soft_tissue_invasion,soft_tissue_invasion,case_normalized,668
vascular_invasion,vascular_invasion,case_normalized,656
tracheal_deviation,tracheal_deviation,case_normalized,655
rai_dose_mci,rai_dose_mci,case_normalized,632
capsular_invasion,capsular_invasion,case_normalized,629
ct_neck,ct_neck,case_normalized,589
voice_recovery,voice_recovery,case_normalized,585
ultrasound_lymph_node,ultrasound_lymph_node,case_normalized,572
post_treatment_wbs_findings,post_treatment_wbs_findings,case_normalized,559
lymph_node_pathology,lymph_node_pathology,case_normalized,544
calcium_quality_of_life,calcium_quality_of_life,case_normalized,534
strap_muscle,strap_muscle,case_normalized,506
drain_placement,drain_placement,case_normalized,482
mass_effect,mass_effect,case_normalized,463
extrathyroidal_extension,extrathyroidal_extension,case_normalized,457
neck_exam,neck_exam,case_normalized,450
substernal_extension,substernal_extension,case_normalized,448
benign_pathology,benign_pathology,case_normalized,437
preparation_method,preparation_method,case_normalized,434
tirads_score,tirads_score,case_normalized,423
ptnm_stage,ptnm_stage,case_normalized,413
