Model,Variable,OR,CI_lower,CI_upper,p_value,N,Events,AIC,Pseudo_R2
C_rai_receipt,const,0.009,0.002,0.04,0.0,4126,34,378.2,0.0708
C_rai_receipt,stage_III_IV,2.862,1.075,7.62,0.0354,4126,34,378.2,0.0708
C_rai_receipt,ata_high,1.897,0.841,4.279,0.1227,4126,34,378.2,0.0708
C_rai_receipt,ata_intermediate,0.181,0.022,1.5,0.1133,4126,34,378.2,0.0708
C_rai_receipt,age,0.981,0.953,1.009,0.1789,4126,34,378.2,0.0708
C_rai_receipt,tumor_size_cm,1.184,1.048,1.338,0.0066,4126,34,378.2,0.0708
