manuscript,stratum,block,variable,detail,value,extra
M037,Overall,Header,N,,2234,
M037,Overall,Continuous,Age at surgery (y),Mean ± SD,48.9 ± 15.8,
M037,Overall,Continuous,Age at surgery (y),Median (IQR),48.0 (36.0–61.0),
M037,Overall,Continuous,Age at surgery (y),Non-missing / missing,n=2234; missing 0 (0.0%),
M037,Overall,Continuous,BMI,Mean ± SD,29.4 ± 7.3,
M037,Overall,Continuous,BMI,Median (IQR),28.0 (24.2–33.1),
M037,Overall,Continuous,BMI,Non-missing / missing,n=430; missing 1804 (80.8%),
M037,Overall,Categorical,Sex,,,
M037,Overall,Categorical,Sex,female,1601 (71.7%),
M037,Overall,Categorical,Sex,male,633 (28.3%),
M037,Overall,Categorical,Sex,Missing,0 (0.0%),
M037,Overall,Categorical,Race/ethnicity (as coded),,,
M037,Overall,Categorical,Race/ethnicity (as coded),White,1457 (65.2%),
M037,Overall,Categorical,Race/ethnicity (as coded),Black or African American,359 (16.1%),
M037,Overall,Categorical,Race/ethnicity (as coded),Asian,177 (7.9%),
M037,Overall,Categorical,Race/ethnicity (as coded),Unknown or Not Reported,163 (7.3%),
M037,Overall,Categorical,Race/ethnicity (as coded),Other,50 (2.2%),
M037,Overall,Categorical,Race/ethnicity (as coded),American Indian or Alaska Native,11 (0.5%),
M037,Overall,Categorical,Race/ethnicity (as coded),Native Hawaiian or Other Pacific Islander,8 (0.4%),
M037,Overall,Categorical,Race/ethnicity (as coded),Hispanic or Latino,7 (0.3%),
M037,Overall,Categorical,Race/ethnicity (as coded),Missing,2 (0.1%),
M037,Overall,Categorical,Surgery procedure type,,,
M037,Overall,Categorical,Surgery procedure type,total_thyroidectomy,1773 (79.4%),
M037,Overall,Categorical,Surgery procedure type,hemithyroidectomy,371 (16.6%),
M037,Overall,Categorical,Surgery procedure type,other,85 (3.8%),
M037,Overall,Categorical,Surgery procedure type,unknown,5 (0.2%),
M037,Overall,Categorical,Surgery procedure type,Missing,0 (0.0%),
M037,Overall,Binary,Malignant,,2234 (100.0%),
M037,Overall,Categorical,Histology (malignant only),,N_malignant=2234,
M037,Overall,Categorical,Histology (malignant only),PTC,1754 (78.5%),
M037,Overall,Categorical,Histology (malignant only),follicular carcinoma,159 (7.1%),
M037,Overall,Categorical,Histology (malignant only),MTC,118 (5.3%),
M037,Overall,Categorical,Histology (malignant only),metastatic PTC,115 (5.1%),
M037,Overall,Categorical,Histology (malignant only),poorly differentiated thyroid carcinoma,19 (0.9%),
M037,Overall,Categorical,Histology (malignant only),anaplastic carcinoma,12 (0.5%),
M037,Overall,Categorical,Histology (malignant only),FTUMP,11 (0.5%),
M037,Overall,Categorical,Histology (malignant only),differentiated high grade thyroid carcinoma,8 (0.4%),
M037,Overall,Categorical,Histology (malignant only),metastatic MTC,7 (0.3%),
M037,Overall,Categorical,Histology (malignant only),metastatic PTC tall cell variant,5 (0.2%),
M037,Overall,Categorical,Histology (malignant only),metastatic PTC with tall cell features,4 (0.2%),
M037,Overall,Categorical,Histology (malignant only),metastatic PTC classical,4 (0.2%),
M037,Overall,Categorical,Histology (malignant only),metastatic thyroid carcinoma,3 (0.1%),
M037,Overall,Categorical,Histology (malignant only),recurrent/metastatic PTC,2 (0.1%),
M037,Overall,Categorical,Histology (malignant only),metastatic PTC follicular,2 (0.1%),
M037,Overall,Categorical,Histology (malignant only),adenoid cystic carcinoma,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),metastatic PTC/anaplastic carcinoma,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),metastatic PTC with focal tall cell features,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),high-grade PTC with thymic-like features,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),infiltrating carcinoma with thymus-like differentiation,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),MTC/PTC mixed composite,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),poorly differentiated PTC,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),NUT carcinoma,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),NIFTP,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),metastatic PTC classical with focal tall cell features,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),metastatic PTC classical with extensive follicular growth pattern & oncocytic & focal tall cell features <5%,1 (0.0%),
M037,Overall,Categorical,Histology (malignant only),Missing,0 (0.0%),
M037,Overall,Categorical,AJCC8 stage group (malignant only),,N_malignant=2234,
M037,Overall,Categorical,AJCC8 stage group (malignant only),I,920 (41.2%),
M037,Overall,Categorical,AJCC8 stage group (malignant only),II,856 (38.3%),
M037,Overall,Categorical,AJCC8 stage group (malignant only),IVB,445 (19.9%),
M037,Overall,Categorical,AJCC8 stage group (malignant only),III,9 (0.4%),
M037,Overall,Categorical,AJCC8 stage group (malignant only),None,4 (0.2%),
M037,Overall,Categorical,AJCC8 stage group (malignant only),Missing,0 (0.0%),
M037,Overall,Continuous,"Tumor size, dominant (cm)",Mean ± SD,2.3 ± 2.0,
M037,Overall,Continuous,"Tumor size, dominant (cm)",Median (IQR),1.7 (1.0–3.0),
M037,Overall,Continuous,"Tumor size, dominant (cm)",Non-missing / missing,n=2230; missing 4 (0.2%),
M037,Overall,Continuous,LN positive count (final),Mean ± SD,3.0 ± 5.9,
M037,Overall,Continuous,LN positive count (final),Median (IQR),0.0 (0.0–3.0),
M037,Overall,Continuous,LN rollup total examined,Mean ± SD,11.8 ± 16.7,
M037,Overall,Continuous,LN rollup total examined,Median (IQR),4.0 (1.0–14.5),
M037,Overall,Continuous,LN rollup total positive,Mean ± SD,3.1 ± 6.0,
M037,Overall,Continuous,LN rollup total positive,Median (IQR),1.0 (0.0–3.0),
M037,Overall,Categorical,LND dissection (resolved v2),,,
M037,Overall,Categorical,LND dissection (resolved v2),lateral_neck_dissection,184 (8.2%),
M037,Overall,Categorical,LND dissection (resolved v2),mrnd,177 (7.9%),
M037,Overall,Categorical,LND dissection (resolved v2),lateral_neck_dissection_unspecified,58 (2.6%),
M037,Overall,Categorical,LND dissection (resolved v2),Missing,1815 (81.2%),
M037,Overall,Categorical,ETE grade (final),,,
M037,Overall,Categorical,ETE grade (final),microscopic,1308 (58.5%),
M037,Overall,Categorical,ETE grade (final),gross,791 (35.4%),
M037,Overall,Categorical,ETE grade (final),false,101 (4.5%),
M037,Overall,Categorical,ETE grade (final),present_ungraded,21 (0.9%),
