manuscript,stratum,block,variable,detail,value,extra
M032,Overall,Header,N,,10871,
M032,Overall,Continuous,Age at surgery (y),Mean ± SD,51.6 ± 15.2,
M032,Overall,Continuous,Age at surgery (y),Median (IQR),52.0 (40.0–63.0),
M032,Overall,Continuous,Age at surgery (y),Non-missing / missing,n=10871; missing 0 (0.0%),
M032,Overall,Temporal,Surgery decade,,,
M032,Overall,Temporal,Surgery decade,2010–2019,4837 (44.5%),
M032,Overall,Temporal,Surgery decade,2020–2029,3935 (36.2%),
M032,Overall,Temporal,Surgery decade,2000–2009,1987 (18.3%),
M032,Overall,Temporal,Surgery decade,1990–1999,111 (1.0%),
M032,Overall,Temporal,Surgery decade,<1990,1 (0.0%),
M032,Overall,Temporal,Surgery decade,Missing,0 (0.0%),
M032,Overall,Continuous,BMI,Mean ± SD,30.5 ± 7.6,
M032,Overall,Continuous,BMI,Median (IQR),29.2 (25.0–34.7),
M032,Overall,Continuous,BMI,Non-missing / missing,n=2085; missing 8786 (80.8%),
M032,Overall,Categorical,Sex,,,
M032,Overall,Categorical,Sex,female,8459 (77.8%),
M032,Overall,Categorical,Sex,male,2412 (22.2%),
M032,Overall,Categorical,Sex,Missing,0 (0.0%),
M032,Overall,Categorical,Race/ethnicity (as coded),,,
M032,Overall,Categorical,Race/ethnicity (as coded),White,5266 (48.4%),
M032,Overall,Categorical,Race/ethnicity (as coded),Black or African American,4168 (38.3%),
M032,Overall,Categorical,Race/ethnicity (as coded),Unknown or Not Reported,721 (6.6%),
M032,Overall,Categorical,Race/ethnicity (as coded),Asian,476 (4.4%),
M032,Overall,Categorical,Race/ethnicity (as coded),Other,143 (1.3%),
M032,Overall,Categorical,Race/ethnicity (as coded),American Indian or Alaska Native,39 (0.4%),
M032,Overall,Categorical,Race/ethnicity (as coded),Native Hawaiian or Other Pacific Islander,27 (0.2%),
M032,Overall,Categorical,Race/ethnicity (as coded),Hispanic or Latino,22 (0.2%),
M032,Overall,Categorical,Race/ethnicity (as coded),Missing,9 (0.1%),
M032,Overall,Categorical,Surgery procedure type,,,
M032,Overall,Categorical,Surgery procedure type,total_thyroidectomy,5999 (55.2%),
M032,Overall,Categorical,Surgery procedure type,hemithyroidectomy,4432 (40.8%),
M032,Overall,Categorical,Surgery procedure type,other,422 (3.9%),
M032,Overall,Categorical,Surgery procedure type,unknown,9 (0.1%),
M032,Overall,Categorical,Surgery procedure type,isthmusectomy,7 (0.1%),
M032,Overall,Categorical,Surgery procedure type,Missing,2 (0.0%),
M032,Overall,Binary,Malignant,,4019 (37.0%),
M032,Overall,Categorical,Histology (malignant only),,N_malignant=4019,
M032,Overall,Categorical,Histology (malignant only),PTC,3075 (76.5%),
M032,Overall,Categorical,Histology (malignant only),follicular carcinoma,486 (12.1%),
