check,object,metric,value,status
row_count,v2_stage.canonical_extracted_fact_long_v1,n_rows,68077,
row_count,v2_stage.canonical_extracted_fact_long_v2,n_rows,123577,
row_count,v2_stage.canonical_fact_quarantine_v1,n_rows,0,
row_count,v2_stage.canonical_fact_quarantine_v2,n_rows,199,
row_count,v2_stage.load_inventory,n_rows,210,
row_count,v2_stage.note_entities_llm_airway_invasion,n_rows,11037,
row_count,v2_stage.note_entities_llm_cervical_ln_detail,n_rows,11037,
row_count,v2_stage.note_entities_llm_combined,n_rows,11037,
row_count,v2_stage.note_entities_llm_complications,n_rows,11037,
row_count,v2_stage.note_entities_llm_complications_rln_laryngoscopy,n_rows,11037,
row_count,v2_stage.note_entities_llm_dynamic_risk_response,n_rows,11037,
row_count,v2_stage.note_entities_llm_frozen_section_detail,n_rows,11037,
row_count,v2_stage.note_entities_llm_functional_outcomes,n_rows,11037,
row_count,v2_stage.note_entities_llm_genetics,n_rows,11037,
row_count,v2_stage.note_entities_llm_imaging,n_rows,11037,
row_count,v2_stage.note_entities_llm_labs,n_rows,11037,
row_count,v2_stage.note_entities_llm_medication_management,n_rows,11037,
row_count,v2_stage.note_entities_llm_medications,n_rows,11037,
row_count,v2_stage.note_entities_llm_molecular_thyroseq_afirma,n_rows,11037,
row_count,v2_stage.note_entities_llm_operative_details,n_rows,11037,
row_count,v2_stage.note_entities_llm_operative_v2_enrichment,n_rows,11037,
row_count,v2_stage.note_entities_llm_parathyroid_detail,n_rows,11037,
row_count,v2_stage.note_entities_llm_parathyroid_per_gland,n_rows,11037,
row_count,v2_stage.note_entities_llm_past_medical_hx,n_rows,11037,
row_count,v2_stage.note_entities_llm_past_surgical_hx,n_rows,11037,
row_count,v2_stage.note_entities_llm_pathology,n_rows,11037,
row_count,v2_stage.note_entities_llm_patient_decision_adherence,n_rows,11037,
row_count,v2_stage.note_entities_llm_physical_exam,n_rows,11037,
row_count,v2_stage.note_entities_llm_presenting_symptoms,n_rows,11037,
row_count,v2_stage.note_entities_llm_problem_list,n_rows,11037,
row_count,v2_stage.note_entities_llm_procedures,n_rows,11037,
row_count,v2_stage.note_entities_llm_rad_treatment,n_rows,11037,
row_count,v2_stage.note_entities_llm_rai_detailed,n_rows,11037,
row_count,v2_stage.note_entities_llm_recurrence,n_rows,11037,
row_count,v2_stage.note_entities_llm_recurrence_detailed,n_rows,11037,
row_count,v2_stage.note_entities_llm_staging,n_rows,11037,
row_count,v2_stage.note_entities_llm_survival_followup,n_rows,11037,
row_count,v2_stage.note_entities_llm_synoptic_pathology_enrichment,n_rows,11037,
row_count,v2_stage.note_entities_llm_tg_kinetics,n_rows,11037,
row_count,v2_stage.note_entities_llm_tirads_granular,n_rows,11037,
row_count,v2_stage.note_entities_llm_us_nodule_dynamics,n_rows,11037,
row_count,v2_stage.note_entities_llm_vascular_invasion,n_rows,11037,
row_count,v2_stage.note_extraction_runs,n_rows,5,
null_keys,v2_stage.canonical_extracted_fact_long_v2,null_research_id,0,PASS
duplicate_keys,v2_stage.canonical_extracted_fact_long_v2,duplicate_fact_id_groups,0,PASS
quarantine,v2_stage.canonical_fact_quarantine_v2,n_rows,199,
domain_coverage,procedures,n_rows_clean_v2,21942,
domain_coverage,operative_detail,n_rows_clean_v2,12151,
domain_coverage,problem_list,n_rows_clean_v2,11579,
domain_coverage,pathology,n_rows_clean_v2,10867,
domain_coverage,survival_followup,n_rows_clean_v2,9806,
domain_coverage,complications,n_rows_clean_v2,9359,
domain_coverage,imaging,n_rows_clean_v2,8403,
domain_coverage,medications,n_rows_clean_v2,7501,
domain_coverage,vascular_invasion,n_rows_clean_v2,4241,
domain_coverage,past_surgical_hx,n_rows_clean_v2,3918,
domain_coverage,staging,n_rows_clean_v2,3807,
domain_coverage,rai_detailed,n_rows_clean_v2,3744,
domain_coverage,functional_outcomes,n_rows_clean_v2,3289,
domain_coverage,airway_invasion,n_rows_clean_v2,3076,
domain_coverage,labs,n_rows_clean_v2,2447,
domain_coverage,physical_exam,n_rows_clean_v2,1919,
domain_coverage,genetics,n_rows_clean_v2,1738,
domain_coverage,past_medical_hx,n_rows_clean_v2,865,
domain_coverage,patient_decision_adherence,n_rows_clean_v2,640,
domain_coverage,rad_treatment,n_rows_clean_v2,518,
domain_coverage,frozen_section_detail,n_rows_clean_v2,375,
domain_coverage,recurrence,n_rows_clean_v2,281,
domain_coverage,presenting_symptoms,n_rows_clean_v2,279,
domain_coverage,parathyroid_detail,n_rows_clean_v2,248,
domain_coverage,tirads_granular,n_rows_clean_v2,176,
domain_coverage,tg_kinetics,n_rows_clean_v2,167,
domain_coverage,cervical_ln_detail,n_rows_clean_v2,104,
domain_coverage,dynamic_risk_response,n_rows_clean_v2,52,
domain_coverage,us_nodule_dynamics,n_rows_clean_v2,47,
domain_coverage,synoptic_pathology_enrichment,n_rows_clean_v2,38,
load_inventory,v2_stage.load_inventory,all_row_match,True,PASS
multimodal_main,main.imaging_fna_linkage_mm_v1,duckdb_tables_hit,1,INFO
multimodal_main,main.multimodal_contract_mm_v1,duckdb_tables_hit,0,INFO
multimodal_main,main.imaging_fna_linkage_mm_v1_validation,duckdb_tables_hit,0,INFO
