stem,path,rows,size_bytes
note_entities_complications,processed/note_entities_complications.parquet,9359,410796
note_entities_genetics,processed/note_entities_genetics.parquet,1738,110389
note_entities_llm_airway_invasion,processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,11037,974769
note_entities_llm_cervical_ln_detail,processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,11037,895788
note_entities_llm_combined,processed/output/v2_parquets/note_entities_llm_combined.parquet,11037,1494785
note_entities_llm_complications,processed/output/v2_parquets/note_entities_llm_complications.parquet,11037,673254
note_entities_llm_complications_rln_laryngoscopy,processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,11037,894065
note_entities_llm_dynamic_risk_response,processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,11037,728085
note_entities_llm_frozen_section_detail,processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,11037,806532
note_entities_llm_functional_outcomes,processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,11037,954415
note_entities_llm_genetics,processed/output/v2_parquets/note_entities_llm_genetics.parquet,11037,773552
note_entities_llm_imaging,processed/note_entities_llm_imaging.parquet,11037,1494785
note_entities_llm_labs,processed/output/v2_parquets/note_entities_llm_labs.parquet,11037,1097116
note_entities_llm_medication_management,processed/output/v2_parquets/note_entities_llm_medication_management.parquet,11037,1011292
note_entities_llm_medications,processed/output/v2_parquets/note_entities_llm_medications.parquet,11037,967372
note_entities_llm_molecular_thyroseq_afirma,processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,11037,1021756
note_entities_llm_operative_details,processed/output/v2_parquets/note_entities_llm_operative_details.parquet,11037,1020338
note_entities_llm_operative_v2_enrichment,processed/output/v2_parquets/note_entities_llm_operative_v2_enrichment.parquet,11037,1160745
note_entities_llm_parathyroid_detail,processed/output/v2_parquets/note_entities_llm_parathyroid_detail.parquet,11037,898955
note_entities_llm_parathyroid_per_gland,processed/output/v2_parquets/note_entities_llm_parathyroid_per_gland.parquet,11037,945333
note_entities_llm_past_medical_hx,processed/output/v2_parquets/note_entities_llm_past_medical_hx.parquet,11037,1088378
note_entities_llm_past_surgical_hx,processed/output/v2_parquets/note_entities_llm_past_surgical_hx.parquet,11037,1246893
note_entities_llm_pathology,processed/note_entities_llm_pathology.parquet,11037,1453768
note_entities_llm_patient_decision_adherence,processed/output/v2_parquets/note_entities_llm_patient_decision_adherence.parquet,11037,895408
note_entities_llm_physical_exam,processed/output/v2_parquets/note_entities_llm_physical_exam.parquet,11037,1115062
note_entities_llm_presenting_symptoms,processed/output/v2_parquets/note_entities_llm_presenting_symptoms.parquet,11037,1013695
note_entities_llm_problem_list,processed/output/v2_parquets/note_entities_llm_problem_list.parquet,11037,1377600
note_entities_llm_procedures,processed/output/v2_parquets/note_entities_llm_procedures.parquet,11037,1456874
note_entities_llm_rad_treatment,processed/output/v2_parquets/note_entities_llm_rad_treatment.parquet,11037,796105
note_entities_llm_rai_detailed,processed/output/v2_parquets/note_entities_llm_rai_detailed.parquet,11037,814392
note_entities_llm_recurrence,processed/output/v2_parquets/note_entities_llm_recurrence.parquet,11037,861719
note_entities_llm_recurrence_detailed,processed/output/v2_parquets/note_entities_llm_recurrence_detailed.parquet,11037,700244
note_entities_llm_staging,processed/output/v2_parquets/note_entities_llm_staging.parquet,11037,776838
note_entities_llm_survival_followup,processed/output/v2_parquets/note_entities_llm_survival_followup.parquet,11037,1294913
note_entities_llm_synoptic_pathology_enrichment,processed/output/v2_parquets/note_entities_llm_synoptic_pathology_enrichment.parquet,11037,953062
note_entities_llm_tg_kinetics,processed/note_entities_llm_tg_kinetics.parquet,11037,753441
note_entities_llm_tirads_granular,processed/output/v2_parquets/note_entities_llm_tirads_granular.parquet,11037,829570
note_entities_llm_us_nodule_dynamics,processed/output/v2_parquets/note_entities_llm_us_nodule_dynamics.parquet,11037,955506
note_entities_llm_vascular_invasion,processed/output/v2_parquets/note_entities_llm_vascular_invasion.parquet,11037,839664
note_entities_medications,processed/note_entities_medications.parquet,7501,314233
note_entities_operative_detail,processed/note_entities_operative_detail.parquet,12151,909443
note_entities_problem_list,processed/note_entities_problem_list.parquet,11579,503876
note_entities_procedures,processed/note_entities_procedures.parquet,21942,857564
note_entities_staging,processed/note_entities_staging.parquet,3807,195514
