table_name,n_columns_tagged,ajcc_stage_columns,finding_or_input_columns,columns
canonical_ete_event_resolved_v1,9,4,7,"ajcc_overall_stage, derived_t_stage_ajcc8, histology_variant, laterality, multifocal_flag, primary_histology, reported_t_stage_ajcc8, size_greatest_dimension_cm, t_stage_discordance_flag"
canonical_path_malignant_events_v1,36,13,10,"ajcc7_stage_calculable_flag, ajcc8_stage_calculable_flag, angioinvasion_quantify, capsular_invasion, data_completeness_pct, extranodal_extension, extrathyroidal_extension, gross_ete, histology_variant, laterality, ln_examined, ln_involved, lymphatic_invasion, m_stage_ajcc7, m_stage_ajcc8, margin_status, multifocality_flag, n_stage_ajcc7, n_stage_ajcc8, nodal_disease_positive_count, nodal_disease_total_count, number_of_tumors, overall_stage_ajcc7, overall_stage_ajcc8, perineural_invasion, primary_histology, site, size_greatest_dimension_cm, stage_group_ajcc7, stage_group_ajcc8, stage_migration_7_to_8, staging_source_note, t_stage_ajcc7, t_stage_ajcc8, tumor_size_cm_per_surgery, vascular_invasion"
