note_type,total_notes,unique_patients,has_date,has_text,avg_chars,earliest_date,latest_date
op_note,4680,4439,3274,4408,4799.0,0202-11-19,2025-11-24
h_p,4221,3999,1252,4218,6638.0,1990-01-01,2025-04-29
other_history,525,525,513,523,2228.0,2012-01-30,3021-03-11
endocrine_note,519,519,343,383,6527.0,2017-06-20,2025-11-20
ed_note,498,495,54,107,815.0,1992-02-18,2020-10-13
history_summary,249,249,116,242,981.0,1999-05-03,2024-12-18
dc_sum,185,169,50,185,5290.0,1990-06-25,2024-04-26
other_notes,160,160,46,63,1944.0,1990-08-25,2024-12-20
