surgery_type_label,complication_category,analysis_window,n_with_complication,n_patients_in_surgery_bucket,proportion,ci95_lower_wald,ci95_upper_wald
hemithyroidectomy x ND_both,chyle_leak,acute_0_30d,0,9,0.0,0.0,0.0
hemithyroidectomy x ND_both,hematoma,acute_0_30d,0,9,0.0,0.0,0.0
hemithyroidectomy x ND_both,hypocalcemia,acute_0_30d,0,9,0.0,0.0,0.0
hemithyroidectomy x ND_both,hypoparathyroidism,any_time_followup,1,9,0.11111,0.0,0.31643
hemithyroidectomy x ND_both,mortality,any_time_followup,1,9,0.11111,0.0,0.31643
hemithyroidectomy x ND_both,vocal_cord_palsy,acute_0_30d,1,9,0.11111,0.0,0.31643
hemithyroidectomy x ND_central,chyle_leak,acute_0_30d,0,245,0.0,0.0,0.0
hemithyroidectomy x ND_central,hematoma,acute_0_30d,2,245,0.00816,0.0,0.01943
hemithyroidectomy x ND_central,hypocalcemia,acute_0_30d,0,245,0.0,0.0,0.0
hemithyroidectomy x ND_central,hypoparathyroidism,any_time_followup,2,245,0.00816,0.0,0.01943
hemithyroidectomy x ND_central,mortality,any_time_followup,0,245,0.0,0.0,0.0
hemithyroidectomy x ND_central,vocal_cord_palsy,acute_0_30d,1,245,0.00408,0.0,0.01207
hemithyroidectomy x ND_lateral,chyle_leak,acute_0_30d,0,9,0.0,0.0,0.0
hemithyroidectomy x ND_lateral,hematoma,acute_0_30d,0,9,0.0,0.0,0.0
hemithyroidectomy x ND_lateral,hypocalcemia,acute_0_30d,0,9,0.0,0.0,0.0
hemithyroidectomy x ND_lateral,hypoparathyroidism,any_time_followup,0,9,0.0,0.0,0.0
hemithyroidectomy x ND_lateral,mortality,any_time_followup,0,9,0.0,0.0,0.0
hemithyroidectomy x ND_lateral,vocal_cord_palsy,acute_0_30d,0,9,0.0,0.0,0.0
hemithyroidectomy x ND_none_signal,chyle_leak,acute_0_30d,0,684,0.0,0.0,0.0
hemithyroidectomy x ND_none_signal,hematoma,acute_0_30d,6,684,0.00877,0.00178,0.01576
hemithyroidectomy x ND_none_signal,hypocalcemia,acute_0_30d,0,684,0.0,0.0,0.0
hemithyroidectomy x ND_none_signal,hypoparathyroidism,any_time_followup,6,684,0.00877,0.00178,0.01576
hemithyroidectomy x ND_none_signal,mortality,any_time_followup,0,684,0.0,0.0,0.0
hemithyroidectomy x ND_none_signal,vocal_cord_palsy,acute_0_30d,1,684,0.00146,0.0,0.00433
other_or_unknown_primary_procedure x ND_both,chyle_leak,acute_0_30d,0,46,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_both,hematoma,acute_0_30d,1,46,0.02174,0.0,0.06388
other_or_unknown_primary_procedure x ND_both,hypocalcemia,acute_0_30d,0,46,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_both,hypoparathyroidism,any_time_followup,2,46,0.04348,0.0,0.10241
other_or_unknown_primary_procedure x ND_both,mortality,any_time_followup,0,46,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_both,vocal_cord_palsy,acute_0_30d,0,46,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_central,chyle_leak,acute_0_30d,0,442,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_central,hematoma,acute_0_30d,3,442,0.00679,0.0,0.01444
other_or_unknown_primary_procedure x ND_central,hypocalcemia,acute_0_30d,0,442,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_central,hypoparathyroidism,any_time_followup,32,442,0.0724,0.04824,0.09656
other_or_unknown_primary_procedure x ND_central,mortality,any_time_followup,0,442,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_central,vocal_cord_palsy,acute_0_30d,8,442,0.0181,0.00567,0.03053
other_or_unknown_primary_procedure x ND_lateral,chyle_leak,acute_0_30d,0,32,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_lateral,hematoma,acute_0_30d,2,32,0.0625,0.0,0.14637
other_or_unknown_primary_procedure x ND_lateral,hypocalcemia,acute_0_30d,0,32,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_lateral,hypoparathyroidism,any_time_followup,0,32,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_lateral,mortality,any_time_followup,0,32,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_lateral,vocal_cord_palsy,acute_0_30d,0,32,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_none_signal,chyle_leak,acute_0_30d,1,486,0.00206,0.0,0.00609
other_or_unknown_primary_procedure x ND_none_signal,hematoma,acute_0_30d,1,486,0.00206,0.0,0.00609
other_or_unknown_primary_procedure x ND_none_signal,hypocalcemia,acute_0_30d,0,486,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_none_signal,hypoparathyroidism,any_time_followup,36,486,0.07407,0.05079,0.09736
other_or_unknown_primary_procedure x ND_none_signal,mortality,any_time_followup,0,486,0.0,0.0,0.0
other_or_unknown_primary_procedure x ND_none_signal,vocal_cord_palsy,acute_0_30d,3,486,0.00617,0.0,0.01314
total_thyroidectomy x ND_both,chyle_leak,acute_0_30d,3,166,0.01807,0.0,0.03834
total_thyroidectomy x ND_both,hematoma,acute_0_30d,0,166,0.0,0.0,0.0
total_thyroidectomy x ND_both,hypocalcemia,acute_0_30d,1,166,0.00602,0.0,0.0178
total_thyroidectomy x ND_both,hypoparathyroidism,any_time_followup,4,166,0.0241,0.00077,0.04742
total_thyroidectomy x ND_both,mortality,any_time_followup,0,166,0.0,0.0,0.0
total_thyroidectomy x ND_both,vocal_cord_palsy,acute_0_30d,8,166,0.04819,0.01561,0.08077
total_thyroidectomy x ND_central,chyle_leak,acute_0_30d,0,1041,0.0,0.0,0.0
total_thyroidectomy x ND_central,hematoma,acute_0_30d,5,1041,0.0048,0.0006,0.009
total_thyroidectomy x ND_central,hypocalcemia,acute_0_30d,0,1041,0.0,0.0,0.0
total_thyroidectomy x ND_central,hypoparathyroidism,any_time_followup,14,1041,0.01345,0.00645,0.02045
total_thyroidectomy x ND_central,mortality,any_time_followup,0,1041,0.0,0.0,0.0
total_thyroidectomy x ND_central,vocal_cord_palsy,acute_0_30d,6,1041,0.00576,0.00117,0.01036
total_thyroidectomy x ND_lateral,chyle_leak,acute_0_30d,0,41,0.0,0.0,0.0
