load_id,domain_name,parquet_stem,tier,qa_tier,source_path,local_row_count,md_row_count,row_match,loaded_at,git_sha,registry_version
50,airway_invasion,note_entities_llm_airway_invasion,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
170,airway_invasion,note_entities_llm_airway_invasion,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
80,airway_invasion,note_entities_llm_airway_invasion,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
20,airway_invasion,note_entities_llm_airway_invasion,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
140,airway_invasion,note_entities_llm_airway_invasion,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
110,airway_invasion,note_entities_llm_airway_invasion,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
43,cervical_ln_detail,note_entities_llm_cervical_ln_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
73,cervical_ln_detail,note_entities_llm_cervical_ln_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
163,cervical_ln_detail,note_entities_llm_cervical_ln_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
13,cervical_ln_detail,note_entities_llm_cervical_ln_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
133,cervical_ln_detail,note_entities_llm_cervical_ln_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
103,cervical_ln_detail,note_entities_llm_cervical_ln_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
145,complications_rln_laryngoscopy,note_entities_llm_complications_rln_laryngoscopy,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
175,complications_rln_laryngoscopy,note_entities_llm_complications_rln_laryngoscopy,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
25,complications_rln_laryngoscopy,note_entities_llm_complications_rln_laryngoscopy,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
85,complications_rln_laryngoscopy,note_entities_llm_complications_rln_laryngoscopy,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
55,complications_rln_laryngoscopy,note_entities_llm_complications_rln_laryngoscopy,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
115,complications_rln_laryngoscopy,note_entities_llm_complications_rln_laryngoscopy,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
82,dynamic_risk_response,note_entities_llm_dynamic_risk_response,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
52,dynamic_risk_response,note_entities_llm_dynamic_risk_response,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
172,dynamic_risk_response,note_entities_llm_dynamic_risk_response,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
112,dynamic_risk_response,note_entities_llm_dynamic_risk_response,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
22,dynamic_risk_response,note_entities_llm_dynamic_risk_response,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
142,dynamic_risk_response,note_entities_llm_dynamic_risk_response,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
171,frozen_section_detail,note_entities_llm_frozen_section_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
51,frozen_section_detail,note_entities_llm_frozen_section_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
81,frozen_section_detail,note_entities_llm_frozen_section_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
21,frozen_section_detail,note_entities_llm_frozen_section_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
111,frozen_section_detail,note_entities_llm_frozen_section_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
141,frozen_section_detail,note_entities_llm_frozen_section_detail,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
74,functional_outcomes,note_entities_llm_functional_outcomes,v2,informational,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
44,functional_outcomes,note_entities_llm_functional_outcomes,v2,informational,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
14,functional_outcomes,note_entities_llm_functional_outcomes,v2,informational,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
134,functional_outcomes,note_entities_llm_functional_outcomes,v2,informational,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
164,functional_outcomes,note_entities_llm_functional_outcomes,v2,informational,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
104,functional_outcomes,note_entities_llm_functional_outcomes,v2,informational,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
1,imaging,note_entities_llm_imaging,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_imaging.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
121,imaging,note_entities_llm_imaging,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_imaging.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
61,imaging,note_entities_llm_imaging,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_imaging.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
151,imaging,note_entities_llm_imaging,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_imaging.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
31,imaging,note_entities_llm_imaging,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_imaging.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
91,imaging,note_entities_llm_imaging,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_imaging.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
124,labs,note_entities_llm_labs,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_labs.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
64,labs,note_entities_llm_labs,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_labs.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
4,labs,note_entities_llm_labs,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_labs.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
94,labs,note_entities_llm_labs,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_labs.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
154,labs,note_entities_llm_labs,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_labs.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
34,labs,note_entities_llm_labs,v2,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_labs.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
146,medication_management,note_entities_llm_medication_management,v1,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medication_management.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
176,medication_management,note_entities_llm_medication_management,v1,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medication_management.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
26,medication_management,note_entities_llm_medication_management,v1,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medication_management.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
86,medication_management,note_entities_llm_medication_management,v1,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medication_management.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
56,medication_management,note_entities_llm_medication_management,v1,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medication_management.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
116,medication_management,note_entities_llm_medication_management,v1,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medication_management.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
150,molecular_thyroseq_afirma,note_entities_llm_molecular_thyroseq_afirma,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
30,molecular_thyroseq_afirma,note_entities_llm_molecular_thyroseq_afirma,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,11037,11037,True,2026-04-07 01:07:23.639773,83f64ee,entity_schema_v3_2026-04-03
90,molecular_thyroseq_afirma,note_entities_llm_molecular_thyroseq_afirma,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,11037,11037,True,2026-04-07 03:57:00.032808,524062a,entity_schema_v3_2026-04-03
180,molecular_thyroseq_afirma,note_entities_llm_molecular_thyroseq_afirma,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
120,molecular_thyroseq_afirma,note_entities_llm_molecular_thyroseq_afirma,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,11037,11037,True,2026-04-07 04:01:52.432466,0314d20,entity_schema_v3_2026-04-03
60,molecular_thyroseq_afirma,note_entities_llm_molecular_thyroseq_afirma,v1,critical,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,11037,11037,True,2026-04-07 01:56:16.452917,2d098dc,entity_schema_v3_2026-04-03
147,operative_details,note_entities_llm_operative_details,v1,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_operative_details.parquet,11037,11037,True,2026-04-07 04:05:43.982818,4b2d076,entity_schema_v3_2026-04-03
177,operative_details,note_entities_llm_operative_details,v1,standard,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_operative_details.parquet,11037,11037,True,2026-04-07 05:06:07.340635,4ad9052,entity_schema_v3_2026-04-03
