item,value
"Age at surgery — median (IQR), years",52.0 (42.0-66.0)
"Age at surgery — mean ± SD, years",53.0 ± 15.3
Age <55,156 (53.4%)
Age ≥55,136 (46.6%)
Sex — female,228 (78.1%)
Sex — male,64 (21.9%)
Race — White,138 (47.3%)
Race — Black or African American,113 (38.7%)
Race — Unknown or Not Reported,18 (6.2%)
Race — Asian,17 (5.8%)
Race — Native Hawaiian or Other Pacific Islander,3 (1.0%)
Race — Other,3 (1.0%)
BMI (kg/m²) — median (IQR) [when available],n/a
