item,value
— Gene × Histology Classification (single-gene patients) —,n=207
  HRAS × Benign,16 / 46 (35%)
  HRAS × Borderline,2 / 46 (4%)
  HRAS × Malignant,28 / 46 (61%)
  KRAS × Benign,7 / 14 (50%)
  KRAS × Borderline,1 / 14 (7%)
  KRAS × Malignant,6 / 14 (43%)
  NRAS × Benign,47 / 147 (32%)
  NRAS × Borderline,8 / 147 (5%)
  NRAS × Malignant,92 / 147 (63%)
— Co-mutation × Histology —,n=292
  Isolated × Benign,93 / 273 (34%)
  Isolated × Borderline,21 / 273 (8%)
  Isolated × Malignant,159 / 273 (58%)
  RAS+BRAF × Benign,0 / 4 (0%)
  RAS+BRAF × Borderline,1 / 4 (25%)
  RAS+BRAF × Malignant,3 / 4 (75%)
  RAS+TERT × Benign,1 / 14 (7%)
  RAS+TERT × Borderline,0 / 14 (0%)
  RAS+TERT × Malignant,13 / 14 (93%)
  RAS+TERT+BRAF × Benign,0 / 1 (0%)
  RAS+TERT+BRAF × Borderline,0 / 1 (0%)
  RAS+TERT+BRAF × Malignant,1 / 1 (100%)
— Co-mutation × ATA-2025 (scored only) —,n=181
  Isolated × ATA25=high,69 / 164 (42%)
  Isolated × ATA25=intermediate,84 / 164 (51%)
  Isolated × ATA25=low,1 / 164 (1%)
  Isolated × ATA25=uncalculable,10 / 164 (6%)
  RAS+BRAF × ATA25=high,2 / 3 (67%)
  RAS+BRAF × ATA25=intermediate,1 / 3 (33%)
  RAS+BRAF × ATA25=low,0 / 3 (0%)
  RAS+BRAF × ATA25=uncalculable,0 / 3 (0%)
  RAS+TERT × ATA25=high,12 / 13 (92%)
  RAS+TERT × ATA25=intermediate,0 / 13 (0%)
  RAS+TERT × ATA25=low,0 / 13 (0%)
  RAS+TERT × ATA25=uncalculable,1 / 13 (8%)
  RAS+TERT+BRAF × ATA25=high,1 / 1 (100%)
  RAS+TERT+BRAF × ATA25=intermediate,0 / 1 (0%)
  RAS+TERT+BRAF × ATA25=low,0 / 1 (0%)
  RAS+TERT+BRAF × ATA25=uncalculable,0 / 1 (0%)
— Bethesda × Histology —,n=292
  Bethesda=AUS/FLUS × Benign,35 / 102 (34%)
  Bethesda=AUS/FLUS × Borderline,8 / 102 (8%)
  Bethesda=AUS/FLUS × Malignant,59 / 102 (58%)
  Bethesda=Benign × Benign,5 / 17 (29%)
  Bethesda=Benign × Borderline,3 / 17 (18%)
  Bethesda=Benign × Malignant,9 / 17 (53%)
  Bethesda=Follicular Neoplasm × Benign,17 / 62 (27%)
  Bethesda=Follicular Neoplasm × Borderline,3 / 62 (5%)
  Bethesda=Follicular Neoplasm × Malignant,42 / 62 (68%)
  Bethesda=Malignant × Benign,11 / 42 (26%)
  Bethesda=Malignant × Borderline,4 / 42 (10%)
  Bethesda=Malignant × Malignant,27 / 42 (64%)
  Bethesda=Missing × Benign,24 / 59 (41%)
  Bethesda=Missing × Borderline,4 / 59 (7%)
  Bethesda=Missing × Malignant,31 / 59 (53%)
  Bethesda=Nondiagnostic × Benign,1 / 2 (50%)
  Bethesda=Nondiagnostic × Borderline,0 / 2 (0%)
  Bethesda=Nondiagnostic × Malignant,1 / 2 (50%)
  Bethesda=Suspicious for Malignancy × Benign,1 / 8 (12%)
  Bethesda=Suspicious for Malignancy × Borderline,0 / 8 (0%)
  Bethesda=Suspicious for Malignancy × Malignant,7 / 8 (88%)
