item,value
— Denominator: Malignant cases —,n=176
Histology — PTC,98 (55.7%)
Histology — follicular carcinoma,67 (38.1%)
Histology — MTC,5 (2.8%)
Histology — poorly differentiated thyroid carcinoma,5 (2.8%)
Histology — differentiated high grade thyroid carcinoma,1 (0.6%)
Capsular invasion — any,97 (55.1%)
Capsular invasion — widely invasive,0 (0.0%)
Vascular invasion — any,54 (30.7%)
Vascular invasion — vessel count ≥4 (extensive),0 (0.0%)
Lymphovascular invasion (LVI) — any,25 (14.2%)
Perineural invasion (PNI) — any,85 (48.3%)
ETE — any present,175 (99.4%)
ETE — microscopic,113 (64.2%)
ETE — gross (or T4),62 (35.2%)
Margin involvement,17 (9.7%)
Tumor size (cm) — median (IQR),2.4 (1.4-3.9)
Tumor size (cm) — mean ± SD,2.7 ± 1.8
Tumor size ≤1 cm,34 (19.3%)
Tumor size 1.01–2 cm,39 (22.2%)
Tumor size 2.01–4 cm,67 (38.1%)
Tumor size >4 cm,36 (20.5%)
Multifocality,72 (40.9%)
