model,cohort,n,auc,ci_lo,ci_hi
A_Bethesda_only,main,2245,0.8237231759656651,0.8063257727985491,0.8399046681395688
B_TIRADS_only,main,2245,0.6328520902877125,0.6118567179262389,0.6549570981489917
C_Bethesda_TIRADS,main,2245,0.8390081068192657,0.8225758948813051,0.8550233336020864
D_Bethesda_TIRADS_clinical,main,2245,0.8451204101096805,0.8293847438398497,0.860446339124868
E_Bethesda_USfeatures,main,2245,0.8399320457796853,0.8223348312406298,0.8548432148946001
F0_Bethesda_only_molcohort,molecular,411,0.6723526003187019,0.6265342901280542,0.7171082799059477
F1_Bethesda_TIRADS_molcohort,molecular,411,0.6972451591095659,0.6486868907384006,0.7441976881941198
F_Bethesda_TIRADS_molecular,molecular,411,0.7600801583852431,0.7131879790892761,0.8060389101017559
G_Bethesda_features_molecular,molecular,411,0.7336182336182336,0.6845562343785642,0.777963164296098
SUB_Bethesda_ref,beth_III_IV,642,0.5190120341614907,0.48172457751639863,0.5551631687375549
SUB_TIRADS_molecular,beth_III_IV_mol,297,0.6604711328976034,0.5975824756526873,0.7194238093692724
SUB_TIRADS_only,beth_III_IV,642,0.549907802795031,0.5080275006770413,0.5915536256950804
SUB_USfeatures,beth_III_IV,642,0.5362820263975155,0.4925294103053483,0.5838388742258576
SUB_combined,beth_III_IV_mol,297,0.6567038852578069,0.5954435184927266,0.7183951187729579
SUB_molecular_only,beth_III_IV_mol,297,0.6125408496732027,0.5573512266608771,0.6626814882032668
