term,OR,ci_lo,ci_hi,p_value
Intercept,901.3787912062077,1.1861422187082523e-34,6.849800238298501e+39,0.8752185432585217
C(beth_cat)[T.2],0.641418320820718,0.3382602586005191,1.2162749002399011,0.17375584212744533
C(beth_cat)[T.3],3.226148506853959,1.6964630344119995,6.135137622897568,0.00035467717185341097
C(beth_cat)[T.4],3.7975265414466146,1.9662387829875936,7.3344132756242555,7.09096409121933e-05
C(beth_cat)[T.5],33.606226194194065,14.028331813334166,80.50696647635908,3.1419994995058933e-15
C(beth_cat)[T.6],15.61465467600444,8.165644484289391,29.85893411352519,9.666020046873129e-17
C(acr_cat)[T.TR2],1.5713335211787096,0.9494183252411871,2.600633429055251,0.07874002776432643
C(acr_cat)[T.TR3],0.932609791581085,0.5758810858304887,1.5103135781905679,0.776678717925187
C(acr_cat)[T.TR4],1.7604916926485261,1.0641752832757936,2.912425282368867,0.02765538243571985
C(acr_cat)[T.TR5],2.2139633929607996,1.3895850093600612,3.52740845097906,0.0008246278834789418
C(sex)[T.male],1.5028961506503506,1.1576356187525627,1.9511293562939547,0.0022197861272375127
age_at_surgery,0.982924639809617,0.975915649383683,0.989983968547906,2.3936912659971658e-06
nodule_size_cm,1.0049693490412757,0.9474861945990802,1.0659399559270644,0.8689823035487956
surgery_year,0.9962291885758685,0.9551765457619229,1.039046237655323,0.8603249085744047
