model,calib_slope,calib_intercept
A_Bethesda_only,1.0061587856698417,0.006038619755884012
B_TIRADS_only,7.128268424934918,-0.05465870407776115
C_Bethesda_TIRADS,1.0078275198754643,-0.014250377644246949
D_Bethesda_TIRADS_clinical,1.0167735068554429,-0.020528141721001904
E_Bethesda_USfeatures,1.0065946818763603,0.015588981995925278
F0_Bethesda_only_molcohort,1.0567900935636736,0.022309994468625305
F1_Bethesda_TIRADS_molcohort,1.0466895105127993,-0.06173257296680504
F_Bethesda_TIRADS_molecular,1.0672935877872605,-0.13308647758518227
G_Bethesda_features_molecular,1.0413805659016198,0.01507882893789161
SUB_Bethesda_ref,6.9010584224889016,0.004486248425937028
SUB_TIRADS_molecular,7.886736680516551,-0.04373128782732111
SUB_TIRADS_only,6.941096053916266,0.004486287212142344
SUB_USfeatures,4.75036599927933,0.005334625807400746
SUB_combined,7.754079945605592,-0.043736300164687374
SUB_molecular_only,7.039258498783485,-0.051892512159702565
