predictor,OR,ci_lower,ci_upper,p_value
C(sex)[T.male],0.99383904843893,0.6415077900560306,1.5396789711871288,0.9779254557368127
C(bethesda_III_vs_IV_V)[T.IV_V],4.013106708276923,2.2956149237931895,7.015560530250383,1.0832139931038305e-06
C(bethesda_III_vs_IV_V)[T.other_NA],1.8817242518475203,1.1130797466157014,3.1811612517046597,0.01828147314722124
has_preop_molecular[T.True],0.57122382231922,0.1686870171594735,1.9343317623341754,0.36822204241356016
genetics_guided[T.True],1.6010321113091484,0.253884712000534,10.096329949310368,0.6164281364113148
age_at_surgery,0.9865746206695063,0.9748648367991251,0.9984250589497248,0.026507603398229516
exact_size_cm_primary,1.0368469393556714,0.6550779824802856,1.6411047301281827,0.8772570092231379
