covariate,beta,se,z,p_value,exp_beta,ci_lower,ci_upper
high_risk_band,2.829325156286729,0.3090621856847207,9.154549755151765,0.0,16.934029144567624,9.240197615138774,31.034113664327624
ete_microscopic,0.6477748812449338,0.20009207318359437,3.2373840249561923,0.0012063096011341035,1.9112832617422113,1.291228922263332,2.829090677594779
ajcc_4,0.0,0.0,,,1.0,1.0,1.0
ajcc_2,0.0,0.0,,,1.0,1.0,1.0
ajcc_3,0.0,0.0,,,1.0,1.0,1.0
tert_pos,-0.004778113934938131,0.08985667655777622,-0.05317483483674015,0.9575926061316977,0.9952332830921261,0.8345211430697687,1.1868953782654779
age_z,-1.71486934231628,0.10292496004688712,-16.66135543346412,0.0,0.17998723589220017,0.14710594110159383,0.220218196773859
braf_pos,-4.697337682210584,27.88700521104553,-0.16844181175646838,0.8662357169615196,0.00911952388171859,1.6675317214505845e-26,4.987354348911006e+21
intercept,-8.357814094557403,1.829802229832403,-4.567605153330106,4.9332820886149875e-06,0.00023455649211307633,6.496633326404608e-06,0.008468501334188616
ete_gross,-30.316089608208397,171.80383988962208,-0.17645757875775894,0.8599344729358,6.821652153122301e-14,3.9039899223397954e-160,1.1919840733171385e+133
