era_5yr,who2022_family,n
1990-1994,Conventional follicular,3
1995-1999,Conventional follicular,20
1995-1999,Oncocytic,3
2000-2004,Conventional follicular,106
2000-2004,Oncocytic,26
2005-2009,Conventional follicular,156
2005-2009,Oncocytic,42
2010-2014,Conventional follicular,167
2010-2014,Oncocytic,53
2015-2019,Conventional follicular,221
2015-2019,Oncocytic,86
2020-2025,Conventional follicular,519
2020-2025,Oncocytic,143
