era_5yr,n_fa,n_strict,n_broad,pct_strict,pct_broad
1990-1994,1,0,0,0.0,0.0
1995-1999,12,0,0,0.0,0.0
2000-2004,82,0,0,0.0,0.0
2005-2009,123,0,0,0.0,0.0
2010-2014,141,1,1,0.7,0.7
2015-2019,139,0,2,0.0,1.4
2020-2025,209,1,3,0.5,1.4
