surgery_year,diagnosis_primary,variant,n
1991,follicular_adenoma,(null),1
1992,FTC,minimally_invasive,1
1992,NIFTP,(null),1
1997,FTC,minimally_invasive,1
1997,follicular_adenoma,(null),1
1999,DHGTC,(null),1
1999,FTC,(null),4
1999,FTC,minimally_invasive,1
1999,FTC,oncocytic_warthin,1
1999,NIFTP,(null),1
1999,follicular_adenoma,(null),11
1999,hurthle_cell_adenoma,(null),2
2000,FTC,(null),3
2000,FTC,minimally_invasive,1
2000,FTC,oncocytic_warthin,2
2000,follicular_adenoma,(null),22
2000,hurthle_cell_adenoma,(null),2
2000,hyalinizing_trabecular_tumor,(null),1
2001,FTC,(null),2
2001,FTC,minimally_invasive,1
2001,FTC,oncocytic_warthin,5
2001,follicular_adenoma,(null),20
2001,hurthle_cell_adenoma,(null),2
2002,FTC,(null),5
2002,FTC,oncocytic_warthin,2
2002,NIFTP,(null),1
2002,follicular_adenoma,(null),10
2002,hurthle_cell_adenoma,(null),2
2003,FTC,minimally_invasive,1
2003,FTC,oncocytic_warthin,2
2003,follicular_adenoma,(null),12
2003,hurthle_cell_adenoma,(null),4
2004,FTC,(null),7
2004,FTC,minimally_invasive,2
2004,FTC,oncocytic_warthin,1
2004,follicular_adenoma,(null),18
2004,hurthle_cell_adenoma,(null),4
2005,FTC,(null),4
2005,FTC,minimally_invasive,3
2005,FTUMP,(null),1
2005,follicular_adenoma,(null),18
2005,hurthle_cell_adenoma,(null),4
2006,FTC,(null),2
2006,FTC,minimally_invasive,1
2006,FTC,oncocytic_warthin,8
2006,FTUMP,(null),2
2006,HCC,(null),1
2006,follicular_adenoma,(null),27
2006,hurthle_cell_adenoma,(null),2
2007,FTC,(null),5
2007,FTC,minimally_invasive,1
2007,FTC,oncocytic_warthin,8
2007,HCC,(null),1
2007,follicular_adenoma,(null),26
2007,hurthle_cell_adenoma,(null),1
2008,FTC,(null),4
2008,FTC,minimally_invasive,2
2008,FTC,oncocytic_warthin,4
2008,follicular_adenoma,(null),18
2008,hurthle_cell_adenoma,(null),4
2009,FTC,(null),4
2009,FTC,minimally_invasive,3
2009,FTC,oncocytic_warthin,5
2009,atypical_follicular_adenoma,(null),1
2009,follicular_adenoma,(null),34
2009,hurthle_cell_adenoma,(null),6
2010,FTC,(null),4
2010,FTC,oncocytic_warthin,1
2010,FTC,widely_invasive,2
2010,follicular_adenoma,(null),31
2010,hurthle_cell_adenoma,(null),6
2011,FTC,(null),7
2011,FTC,oncocytic_warthin,6
2011,FTC,widely_invasive,1
2011,follicular_adenoma,(null),26
2011,hurthle_cell_adenoma,(null),6
2011,hyalinizing_trabecular_tumor,(null),1
2012,FTC,(null),1
2012,FTC,minimally_invasive,1
2012,FTC,oncocytic_warthin,6
2012,FTC,widely_invasive,1
2012,follicular_adenoma,(null),18
2012,hurthle_cell_adenoma,(null),3
2013,FTC,(null),2
2013,FTC,minimally_invasive,2
2013,FTC,oncocytic_warthin,3
2013,FTUMP,(null),1
2013,follicular_adenoma,(null),41
2013,hurthle_cell_adenoma,(null),9
2014,FTC,(null),2
2014,FTC,oncocytic_warthin,4
2014,FTC,widely_invasive,1
2014,follicular_adenoma,(null),25
2014,hurthle_cell_adenoma,(null),9
2015,FTC,(null),4
2015,FTC,minimally_invasive,1
2015,FTC,oncocytic_warthin,5
2015,FTC,widely_invasive,1
2015,follicular_adenoma,(null),26
2015,hurthle_cell_adenoma,(null),10
2015,hyalinizing_trabecular_tumor,(null),1
2016,FTC,(null),3
2016,FTC,minimally_invasive,6
2016,FTC,oncocytic_warthin,12
2016,NIFTP,(null),9
2016,atypical_follicular_adenoma,(null),1
2016,follicular_adenoma,(null),21
2016,hurthle_cell_adenoma,(null),5
2017,FTC,(null),1
2017,FTC,minimally_invasive,8
2017,FTC,oncocytic_warthin,5
2017,NIFTP,(null),10
2017,atypical_follicular_adenoma,(null),1
2017,follicular_adenoma,(null),30
2017,hurthle_cell_adenoma,(null),8
2018,FTC,minimally_invasive,1
2018,FTC,oncocytic_warthin,16
2018,NIFTP,(null),14
2018,follicular_adenoma,(null),35
2018,hurthle_cell_adenoma,(null),4
2019,FTC,minimally_invasive,2
2019,FTC,oncocytic_warthin,13
2019,FTUMP,(null),1
2019,NIFTP,(null),17
2019,PDTC,(null),1
2019,follicular_adenoma,(null),27
2019,hurthle_cell_adenoma,(null),8
2020,DHGTC,(null),1
2020,FTC,(null),3
2020,FTC,minimally_invasive,6
2020,FTC,oncocytic_warthin,16
2020,FTC,widely_invasive,1
2020,FTUMP,(null),2
2020,NIFTP,(null),12
