Variable,OR,CI_lo,CI_hi,p,Model,N
ete_micro_enr,0.5223662358725583,0.4292413116355323,0.6356948340782153,9.040719785999765e-11,Complete-case ENRICHED,3106
ete_gross_enr,168.88618124374102,113.23036179334511,251.89835803183044,1.5919259644405971e-139,Complete-case ENRICHED,3106
age_at_surgery,1.0473809936959877,1.0413582642863408,1.0534385557571684,8.93758076512554e-56,Complete-case ENRICHED,3106
female,0.8247082130929667,0.683109436020377,0.9956583833848633,0.04493791288375636,Complete-case ENRICHED,3106
largest_tumor_cm,1.0336514682492148,0.997976190725456,1.0706020521762978,0.06475919474945574,Complete-case ENRICHED,3106
ln_ratio_mod,2.319642172845086,1.9241732484739171,2.796390509175302,1.1156983251670447e-18,Complete-case ENRICHED,3106
ete_micro_enr,0.6246413559993891,0.5217348590156202,0.7478450344700354,2.999836051050796e-07,No-LN-ratio ENRICHED,3270
ete_gross_enr,166.44720422888363,112.67043419770935,245.89123129672782,1.5058307114512016e-145,No-LN-ratio ENRICHED,3270
age_at_surgery,1.0479163800611644,1.0421241575469875,1.0537407962841339,1.591423161254209e-61,No-LN-ratio ENRICHED,3270
female,0.8433896451589603,0.7039589106204321,1.010436948563446,0.06469615983052646,No-LN-ratio ENRICHED,3270
largest_tumor_cm,1.0492516220091692,1.0148124374484881,1.084859552033974,0.004750320032223384,No-LN-ratio ENRICHED,3270
ete_micro_enr,0.4119277832357809,0.2794824612781174,0.6071382720244788,7.421500090032142e-06,Enriched+LVI,2166
ete_gross_enr,274.52837728890484,155.50300053432423,484.6583646483642,1.6069281901812965e-83,Enriched+LVI,2166
age_at_surgery,1.0586658051450304,1.050554837328884,1.0668393949172872,8.029266315532785e-48,Enriched+LVI,2166
female,0.7907891534860143,0.6194828764449108,1.0094669425890708,0.0595213647800336,Enriched+LVI,2166
largest_tumor_cm,1.0337116062795293,0.986869046406679,1.0827775872065013,0.16111996384373062,Enriched+LVI,2166
ln_ratio_mod,2.5262713009823208,1.9767637965895857,3.228532765107061,1.3089925808467698e-13,Enriched+LVI,2166
lvi_enr,0.5457277250143361,0.3449853300358746,0.8632794612407227,0.009646237161342906,Enriched+LVI,2166
ete_micro_enr,0.49830453691263354,0.3897522896977559,0.6370903213943168,2.754386060996054e-08,Enriched+Margin,2603
ete_gross_enr,199.67358237947258,125.18335899618765,318.4891332199051,1.5991528614304504e-109,Enriched+Margin,2603
age_at_surgery,1.049498030959807,1.0427021919596449,1.0563381620196506,4.0056115319854586e-48,Enriched+Margin,2603
female,0.8549020312816036,0.6937908998332244,1.0534261594741265,0.14117239738202614,Enriched+Margin,2603
largest_tumor_cm,1.0336522220236934,0.9918458122250147,1.077220776581883,0.11611889891196557,Enriched+Margin,2603
ln_ratio_mod,2.4359273567940116,1.9848675490451055,2.9894902007099198,1.5738841462515405e-17,Enriched+Margin,2603
margin_positive_enr,0.8805095747497055,0.5069867823063535,1.5292254912425385,0.6513955521638792,Enriched+Margin,2603
ete_micro_enr,0.464451448086066,0.36922066237438333,0.5842445172001567,5.734736059404311e-11,DELIVERED LN (for comparison),2069
ete_gross_enr,144.15883305641856,91.31370375795937,227.58653184491942,5.143388210686608e-101,DELIVERED LN (for comparison),2069
age_at_surgery,1.0459453382225392,1.0386819222849575,1.053259546621172,1.3644812949962275e-36,DELIVERED LN (for comparison),2069
female,0.914166242290037,0.7265401047732808,1.1502460952289337,0.44386238446729565,DELIVERED LN (for comparison),2069
largest_tumor_cm,1.0202531309954046,0.9761386207930063,1.066361302721836,0.37395812056774513,DELIVERED LN (for comparison),2069
ln_ratio_orig,2.2719302628305607,1.8018673294265604,2.864621071079649,3.960789544567353e-12,DELIVERED LN (for comparison),2069
