Variable,OR,CI_lo,CI_hi,p,Model,N
ete_micro_enr,0.5113260952830766,0.3931072859460302,0.6650967434710255,5.731158963585832e-07,Enriched + LN_ratio,3106
ete_gross_enr,98.64288031902981,66.17453390931915,147.04172833265903,1.5919421938417615e-112,Enriched + LN_ratio,3106
age_at_surgery,1.001765629542747,0.9941372181588964,1.0094525767697171,0.6510445098409863,Enriched + LN_ratio,3106
female,0.8621155936802983,0.6600431634721441,1.1260525644367203,0.276257523137871,Enriched + LN_ratio,3106
largest_tumor_cm,0.9866446366417128,0.9376973956067162,1.038146894269656,0.6045242112580076,Enriched + LN_ratio,3106
ln_ratio_mod,1.2339257737320268,0.9479757751112314,1.6061305099294643,0.1181090095600497,Enriched + LN_ratio,3106
ete_micro_enr,0.52055118631891,0.4078497920344606,0.6643954290777939,1.567270252030596e-07,Enriched no LN,3270
ete_gross_enr,99.13525547169198,67.20005825802974,146.24688031819244,9.034863897965343e-119,Enriched no LN,3270
age_at_surgery,1.0033817402866976,0.9960226752497906,1.0107951774172956,0.3687172757427598,Enriched no LN,3270
female,0.8747730383578779,0.6764347314509893,1.1312663780530872,0.30781313635615604,Enriched no LN,3270
largest_tumor_cm,0.9951345639269137,0.9483327741022678,1.0442460994343066,0.8427007803608216,Enriched no LN,3270
ete_micro_enr,0.36186192121631994,0.2219442909861041,0.589986115184934,4.590084860491503e-05,Enriched + LVI,2166
ete_gross_enr,117.73689723218793,65.05790922951454,213.07135648887527,6.257175844004163e-56,Enriched + LVI,2166
age_at_surgery,1.0004214558364055,0.9896614607522864,1.011298437889101,0.9391232336217845,Enriched + LVI,2166
female,0.8350037355593486,0.5720847667370463,1.218755119761024,0.3499933543051279,Enriched + LVI,2166
largest_tumor_cm,0.9338917226282047,0.8647831814436377,1.0085230243926966,0.08122797214325955,Enriched + LVI,2166
ln_ratio_mod,1.2554510294376928,0.860644347849319,1.8313688938466315,0.23763111194471764,Enriched + LVI,2166
lvi_enr,0.39948795622826944,0.22426506971727578,0.7116160683098389,0.0018400233841075076,Enriched + LVI,2166
ete_micro_enr,0.5617130830232283,0.4038015146639467,0.7813779200458046,0.0006151090355928645,Enriched + Margin,2603
ete_gross_enr,123.2746354640951,76.18294956760963,199.47554977927268,1.365147981204237e-85,Enriched + Margin,2603
age_at_surgery,0.999799557270248,0.9909870571954067,1.008690423815171,0.964602531823121,Enriched + Margin,2603
female,0.9669906620832299,0.7089900782842474,1.3188773287477173,0.8321186359388915,Enriched + Margin,2603
largest_tumor_cm,0.9572557222026895,0.8981896361516107,1.0202060687495158,0.1788368187094751,Enriched + Margin,2603
ln_ratio_mod,1.3059042681637847,0.9710684342375365,1.7561954415163592,0.07744040511263546,Enriched + Margin,2603
margin_positive_enr,1.0275919546284744,0.4873066956598151,2.1669007108293776,0.9429977919522394,Enriched + Margin,2603
ete_micro_enr,0.43804729743045445,0.3196224229189042,0.6003503541264716,2.853642873446575e-07,DELIVERED LN,2069
ete_gross_enr,85.72277566269425,54.49366707383084,134.84859180720252,1.235550460080768e-82,DELIVERED LN,2069
age_at_surgery,0.9980742046222157,0.9886599498121391,1.0075781042021104,0.6901473651548236,DELIVERED LN,2069
female,0.9739945432879074,0.6995326085773622,1.3561417419609898,0.876010945674483,DELIVERED LN,2069
largest_tumor_cm,0.9871527857246706,0.9259744965822921,1.0523730685463597,0.692014140188105,DELIVERED LN,2069
ln_ratio_orig,1.1565233968006916,0.8314556626556703,1.6086803270727454,0.3877567538730845,DELIVERED LN,2069
