sheet,source_column_original,source_column_snake,is_note_like,proposed_note_type,proposed_note_index,comments
Sheet1,Thyroid Cx History/summary,thyroid_cx_history_summary,True,history_summary,1,
Sheet1,Unnamed: 9,unnamed_9,False,,,overflow column; near-zero fill rate
Sheet2,Other History,other_history,True,other_history,1,
Sheet2,H&P-1,h_p_1,True,h_p,1,
Sheet2,H&P-2,h_p_2,True,h_p,2,
Sheet2,H&P-3,h_p_3,True,h_p,3,
Sheet2,H&P-4,h_p_4,True,h_p,4,
Sheet2,OPNote-1,opnote_1,True,op_note,1,
Sheet2,OPNote-2,opnote_2,True,op_note,2,
Sheet2,OPNote-3,opnote_3,True,op_note,3,
Sheet2,OPNote-4,opnote_4,True,op_note,4,
Sheet2,DC_sum_1,dc_sum_1,True,dc_sum,1,
Sheet2,DC_sum_2,dc_sum_2,True,dc_sum,2,
Sheet2,DC_sum_3,dc_sum_3,True,dc_sum,3,
Sheet2,DC_sum_4,dc_sum_4,True,dc_sum,4,
Sheet2,Last Endocrine/FM note,last_endocrine_fm_note,True,endocrine_note,1,
Sheet2,ED note 1,ed_note_1,True,ed_note,1,
Sheet2,ED note 2,ed_note_2,True,ed_note,2,
Sheet2,Other  notes,other_notes,True,other_notes,1,
