race_strat,histology_category,n_patients,pct_within_race
Asian,differentiated,120,93.75
Asian,metastatic_other,5,3.91
Asian,borderline_or_benign,2,1.56
Asian,medullary,1,0.78
Black,differentiated,416,94.33
Black,medullary,17,3.85
Black,metastatic_other,4,0.91
Black,borderline_or_benign,3,0.68
Black,anaplastic,1,0.23
Other,differentiated,53,96.36
Other,anaplastic,1,1.82
Other,metastatic_other,1,1.82
Unknown,differentiated,75,92.59
Unknown,medullary,5,6.17
Unknown,borderline_or_benign,1,1.23
White,differentiated,715,92.38
White,medullary,22,2.84
White,borderline_or_benign,17,2.2
White,metastatic_other,16,2.07
White,anaplastic,3,0.39
White,other,1,0.13
