race_strat,tr_category,n_malignant_in_cell,mean_tumor_size_cm,median_tumor_size_cm,n_micro_lt_1cm,n_1_to_4cm,n_gt_4cm,n_multifocal,mean_malignant_tumors_per_patient
Asian,TR1,8,2.09,1.4,3.0,3.0,2.0,0.0,1.25
Asian,TR2,8,1.04,1.1,2.0,6.0,0.0,0.0,2.0
Asian,TR3,10,1.65,1.5,3.0,5.0,1.0,0.0,2.0
Asian,TR4,26,1.91,1.6,4.0,18.0,3.0,0.0,1.54
Asian,TR5,76,1.88,1.2,18.0,49.0,8.0,0.0,1.84
Black,TR1,37,2.71,1.3,17.0,8.0,11.0,0.0,1.38
Black,TR2,34,1.74,0.95,17.0,13.0,4.0,0.0,1.35
Black,TR3,100,2.58,2.0,37.0,34.0,28.0,0.0,1.43
Black,TR4,71,2.81,2.6,14.0,41.0,16.0,0.0,1.51
Black,TR5,199,2.47,2.0,36.0,123.0,37.0,0.0,1.5
Other,TR1,3,1.03,1.1,1.0,2.0,0.0,0.0,1.33
Other,TR2,1,2.5,2.5,0.0,1.0,0.0,0.0,4.0
Other,TR3,5,1.68,1.5,1.0,4.0,0.0,0.0,1.8
Other,TR4,10,2.05,2.0,1.0,9.0,0.0,0.0,1.7
Other,TR5,36,2.01,1.8,9.0,24.0,3.0,0.0,1.83
Unknown,TR1,6,2.5,1.3499999999999999,3.0,1.0,2.0,0.0,1.5
Unknown,TR2,9,2.71,2.8,2.0,6.0,1.0,0.0,1.44
Unknown,TR3,10,1.63,1.65,4.0,6.0,0.0,0.0,1.5
Unknown,TR4,10,2.02,2.0,2.0,8.0,0.0,0.0,1.7
Unknown,TR5,46,2.15,1.95,6.0,37.0,3.0,0.0,1.74
White,TR1,42,1.51,1.1,18.0,20.0,4.0,0.0,1.67
White,TR2,44,2.67,1.65,14.0,19.0,11.0,0.0,1.61
White,TR3,108,2.03,1.35,42.0,46.0,18.0,0.0,1.51
White,TR4,116,2.24,1.8,30.0,72.0,14.0,0.0,1.72
White,TR5,464,2.21,1.8,95.0,303.0,61.0,0.0,1.72
