param,coef,p,p_bonf
"C(race_strat, Treatment('White'))[T.Asian]:max_tr_int",-0.005316571117412843,0.96955655743958,1.0
"C(race_strat, Treatment('White'))[T.Black]:max_tr_int",-0.057603988516977185,0.4150288616844451,1.0
