race_strat,n_with_dated_fna,mean_days_fna_to_surg,median_days_fna_to_surg,q75_days,q95_days,n_30d_or_less,n_31_to_90d,n_91_to_365d,n_over_365d
Asian,134,373.7,75.5,185.0,1950.3999999999987,19.0,60.0,26.0,29.0
Black,1086,881.7,214.5,1235.0,3820.0,85.0,269.0,280.0,452.0
Other,56,372.4,74.0,145.75,2485.0,8.0,27.0,11.0,10.0
Unknown,105,427.4,99.0,388.0,1879.7999999999981,9.0,41.0,28.0,27.0
White,1038,419.6,79.0,238.25,2381.15,143.0,425.0,257.0,213.0
