race_strat,n_with_dated_us,mean_days_us_to_surg,median_days_us_to_surg,q75_days,n_le_90d,n_91_to_365d,n_gt_365d
Asian,204,557.8,125.5,877.0,88.0,48.0,68.0
Black,1535,802.6,338.0,1344.0,392.0,395.0,748.0
Other,87,623.1,102.0,1091.5,42.0,15.0,30.0
Unknown,167,523.3,146.0,789.5,65.0,43.0,59.0
White,1382,502.2,133.0,883.25,538.0,361.0,483.0
