model_step,formula,race_level,or,ci_lo,ci_hi,p,n
m0_race_only,"is_malignant ~ C(race_strat, Treatment('White'))",Black,0.3166503458574936,0.2716431468390105,0.36911456334694087,6.302562844652994e-49,3121
m0_race_only,"is_malignant ~ C(race_strat, Treatment('White'))",Asian,1.323099088208756,0.9771908797820045,1.7914526562193975,0.07018133644586229,3121
m1_tr,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int",Black,0.35165040026959987,0.30042985329406346,0.411603582846117,1.0454787236482264e-38,3121
m1_tr,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int",Asian,1.3403140373579374,0.9809982510779742,1.831238452020385,0.0658443617073836,3121
m2_burden,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int + C(nodule_burden_cat)",Black,0.3524216205076128,0.30065334094694385,0.41310367019380473,6.951233330386914e-38,3121
m2_burden,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int + C(nodule_burden_cat)",Asian,1.3434677489056273,0.9824112302238489,1.8372200325298542,0.0644801745606514,3121
m3_genetics_nm,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int + C(nodule_burden_cat) + had_any_genetics + had_any_nm",Black,0.359147082402267,0.3045233229968238,0.423568958622608,4.769350234176299e-34,3121
m3_genetics_nm,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int + C(nodule_burden_cat) + had_any_genetics + had_any_nm",Asian,1.4312871207089821,1.0363293903224244,1.976768044057932,0.02951227927059134,3121
m5_fna_path,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int + C(nodule_burden_cat) + had_any_genetics + had_any_nm + had_repeat_fna + n_fnas_total + C(bethesda_bucket) + days_us_to_surg_approx",Black,0.4451983424565257,0.37119915085231037,0.5339494006679361,2.6577483819801793e-18,3121
m5_fna_path,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int + C(nodule_burden_cat) + had_any_genetics + had_any_nm + had_repeat_fna + n_fnas_total + C(bethesda_bucket) + days_us_to_surg_approx",Asian,1.2847926736871302,0.8996450181560468,1.8348261603709632,0.16810954081157992,3121
m6_full,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int + C(nodule_burden_cat) + had_any_genetics + had_any_nm + had_repeat_fna + n_fnas_total + C(bethesda_bucket) + days_us_to_surg_approx + age_at_surgery + C(sex) + surg_year + C(surg_procedure_type)",Black,0.431939722728926,0.3580835591568574,0.5210290148769835,1.7216994487592451e-18,3121
m6_full,"is_malignant ~ C(race_strat, Treatment('White')) + max_tr_int + C(nodule_burden_cat) + had_any_genetics + had_any_nm + had_repeat_fna + n_fnas_total + C(bethesda_bucket) + days_us_to_surg_approx + age_at_surgery + C(sex) + surg_year + C(surg_procedure_type)",Asian,1.2026532423676624,0.828084984129525,1.7466502220153965,0.33245018023131345,3121
