race_strat,n_patients,n_with_fna,pct_with_fna,mean_fnas_per_patient,n_repeat_fna,pct_repeat_fna_among_biopsied,n_ever_b1,n_ever_b3,n_ever_b4,n_ever_b5,n_ever_b6
Asian,204,134.0,65.69,1.0,52.0,38.81,7.0,34.0,8.0,13.0,64.0
Black,1535,1086.0,70.75,1.25,511.0,47.05,81.0,204.0,122.0,42.0,172.0
Other,87,56.0,64.37,1.05,23.0,41.07,7.0,7.0,4.0,8.0,25.0
Unknown,167,105.0,62.87,1.01,39.0,37.14,8.0,13.0,12.0,8.0,41.0
White,1382,1038.0,75.11,1.17,385.0,37.09,121.0,245.0,157.0,83.0,323.0
