race_strat,n_patients,n_with_any_genetics,pct_with_genetics,n_afirma,n_thyroseq,n_mutation_panel,n_suspicious_result,rom_pct_in_genetics_tested
Asian,204,50.0,24.51,7.0,45.0,0.0,5.0,60.0
Black,1535,246.0,16.03,64.0,203.0,0.0,34.0,54.47
Other,87,19.0,21.84,5.0,15.0,0.0,2.0,84.21
Unknown,167,33.0,19.76,12.0,24.0,0.0,9.0,69.7
White,1382,359.0,25.98,101.0,283.0,0.0,55.0,64.35
