param,coef,or,p
Intercept,-0.6995235421866771,0.4968219621137586,0.014723678084915818
"C(race_strat, Treatment('White'))[T.Asian]",0.16220240599327485,1.1760982665691524,0.6184975795739726
"C(race_strat, Treatment('White'))[T.Black]",-0.8272086533483508,0.43726815138290653,1.838184784279113e-07
C(nodule_burden_cat)[T.5+],0.1657928182356316,1.1803285338409726,0.26216096267225486
C(nodule_burden_cat)[T.solitary],-0.6052247456860712,0.5459517125582951,0.005498385926144589
C(bethesda_bucket)[T.II_benign],-1.1177690477758409,0.32700852183209733,4.2717151578436616e-11
C(bethesda_bucket)[T.IV_FN],0.2420520849754443,1.2738605400832816,0.16896459940390263
C(bethesda_bucket)[T.I_nondiagnostic],-0.6577573623900238,0.5180117454374619,0.02902665859450218
C(bethesda_bucket)[T.VI_malig],1.4784465940789555,4.3861269505864,3.098029225855082e-16
C(bethesda_bucket)[T.V_susp_malig],2.0726733307436755,7.94603713453595,1.5346507729229816e-09
C(bethesda_bucket)[T.missing],-0.3108011182878623,0.7328596137512918,0.08382062954403305
C(sex)[T.male],0.37504404859905016,1.4550555063632107,0.0011018344589344062
C(surg_procedure_type)[T.isthmusectomy],0.015254259758327744,1.015371199833512,0.9890955307253027
C(surg_procedure_type)[T.other],-1.1469559600038142,0.31760209286555224,0.11919345984930768
C(surg_procedure_type)[T.total_thyroidectomy],0.8154758733546702,2.2602510096975945,4.317168920854659e-17
C(surg_procedure_type)[T.unknown],-0.05315198749321516,0.9482358815349138,0.9721532098847881
"C(race_strat, Treatment('White'))[T.Asian]:C(nodule_burden_cat)[T.5+]",-0.1623953091093339,0.8501050838252927,0.7000034515801942
"C(race_strat, Treatment('White'))[T.Black]:C(nodule_burden_cat)[T.5+]",-0.07327374020821287,0.9293463957270643,0.7163295187393564
"C(race_strat, Treatment('White'))[T.Asian]:C(nodule_burden_cat)[T.solitary]",0.4773209275072077,1.6117506161699109,0.394979172752392
"C(race_strat, Treatment('White'))[T.Black]:C(nodule_burden_cat)[T.solitary]",0.6381499032348612,1.8929754498567253,0.06775466124270588
max_tr_int,0.2613968545570017,1.298742975243503,2.0647394463911496e-12
had_any_genetics,0.5018398414220484,1.6517574485738236,0.00010658547618155143
had_any_nm,0.9557383599557433,2.6005900457561615,9.393057228995883e-18
had_repeat_fna,-0.13208054170768688,0.8762704159214347,0.4383743817461795
n_fnas_total,0.012334995923602255,1.0124113857521049,0.8770924240882263
days_us_to_surg_approx,-0.07160716198949449,0.930896515526989,0.0005354031216809333
age_at_surgery,-0.015888993376672426,0.9842365707696731,4.588466820515158e-07
surg_year,-0.025830472150245778,0.9745002805432671,0.13668118748363772
