race_strat,tr_category,n_total,n_malignant,rom_pct
Asian,TR1,18,8.0,44.44
Asian,TR2,20,8.0,40.0
Asian,TR3,30,10.0,33.33
Asian,TR4,33,26.0,78.79
Asian,TR5,103,76.0,73.79
Black,TR1,184,37.0,20.11
Black,TR2,158,34.0,21.52
Black,TR3,489,100.0,20.45
Black,TR4,207,71.0,34.3
Black,TR5,497,199.0,40.04
Other,TR1,5,3.0,60.0
Other,TR2,3,1.0,33.33
Other,TR3,14,5.0,35.71
Other,TR4,14,10.0,71.43
Other,TR5,51,36.0,70.59
Unknown,TR1,13,6.0,46.15
Unknown,TR2,18,9.0,50.0
Unknown,TR3,40,10.0,25.0
Unknown,TR4,23,10.0,43.48
Unknown,TR5,73,46.0,63.01
White,TR1,120,42.0,35.0
White,TR2,100,44.0,44.0
White,TR3,272,108.0,39.71
White,TR4,215,116.0,53.95
White,TR5,675,464.0,68.74
