review_domain,total_items,queued,in_progress,resolved,deferred,permanently_source_limited,unique_patients,avg_priority,max_priority,source_feed_limited,template_limited,pipeline_limited,review_actionable,resolution_rate_pct,computed_at
histology,7552,7552,0,0,0,0,7034,70.0,70,0,0,0,7552,0.0,2026-03-15 03:42:42.781397-04:00
linkage,3670,3670,0,0,0,0,1079,71.9,75,0,0,3670,0,0.0,2026-03-15 03:42:42.781397-04:00
staging,2762,2762,0,0,0,0,2372,62.7,85,0,0,2029,733,0.0,2026-03-15 03:42:42.781397-04:00
recurrence,1764,1764,0,0,0,0,1764,80.0,80,1764,0,0,0,0.0,2026-03-15 03:42:42.781397-04:00
timeline,1431,1431,0,0,0,0,531,55.0,55,0,0,0,1431,0.0,2026-03-15 03:42:42.781397-04:00
rai,1077,1077,0,0,0,0,586,60.0,60,0,0,0,1077,0.0,2026-03-15 03:42:42.781397-04:00
molecular,562,562,0,0,0,0,530,65.0,65,0,0,0,562,0.0,2026-03-15 03:42:42.781397-04:00
thyroseq,48,48,0,0,0,0,46,50.0,50,0,0,0,48,0.0,2026-03-15 03:42:42.781397-04:00
