Variable,Mean_ETE,Mean_NoETE,SMD,Balanced
survival_age_at_surgery,48.067,49.092,0.0635,True
tumor_size_cm,2.995,3.061,0.0273,True
ln_positive,3.377,2.634,0.1368,False
ln_examined,10.963,10.139,0.0533,True
