Caliper_mult,Caliper,Matched_pairs,HR,CI_lower,CI_upper,p_value,Concordance
0.1,0.00532,1486,1.861,1.097,3.158,0.0213,0.6676
0.15,0.00798,1491,1.801,1.058,3.065,0.0302,0.662
0.2,0.01064,1496,1.752,1.026,2.992,0.0399,0.6586
0.25,0.0133,1497,1.839,1.084,3.117,0.0238,0.6637
0.3,0.01595,1498,1.836,1.083,3.114,0.024,0.6634
0.5,0.02659,1499,1.792,1.054,3.048,0.0314,0.6613
