platform,n,n_braf,braf_pct,n_ras,ras_pct,n_fusion,fusion_pct
Afirma,75,35,46.7,0,0.0,56,74.7
Dual,73,63,86.3,16,21.9,67,91.8
ThyroSeq,372,29,7.8,112,30.1,213,57.3
